순위,영화명,개봉일,제작연도,제작국가,장르,감독,개봉스크린수,첫주관객,첫주상영횟수,최종누적관객,누적매출액,배수,스크린당관객
1,서브스턴스,2024-12-11,2024,영국,스릴러,코랄리 파르쟈,372,65389,3696,561934,5481959540,8.59,1511
2,8번 출구,2025-10-22,2025,일본,스릴러(1),카와무라 겐키,781,211707,17123,450206,4402823930,2.13,576
3,콘클라베,2025-03-05,2024,미국,드라마(1),에드워드 버거,630,84805,7569,334972,3194605300,3.95,532
4,국보,2025-11-19,2025,일본,드라마,이상일,521,67401,5571,221160,2151220110,3.28,424
5,존 오브 인터레스트,2024-06-05,2023,미국,드라마,조나단 글레이저,392,69477,4131,207833,2056468040,2.99,530
6,플로우,2025-03-19,2024,기타,애니메이션,긴츠 질발로디스,693,59542,6129,181275,1729225550,3.04,262
7,가여운 것들,2024-03-06,2023,미국,드라마(2),요르고스 란티모스,471,73663,5360,156159,1561873065,2.12,332
8,해피엔드,2025-04-30,2024,일본,드라마,소라 네오,111,33122,1060,152065,1522708770,4.59,1370
9,퍼펙트 데이즈,2024-07-03,2023,일본,드라마,빔 벤더스,137,21686,1296,142633,1344642331,6.58,1041
10,시빌 워: 분열의 시대,2024-12-31,2024,미국,액션(2),알렉스 가랜드,662,84078,7118,113869,1166047390,1.35,172
11,청춘 18X2 너에게로 이어지는 길,2024-05-22,2024,대만(1),멜로/로맨스,후지이 미치히토,635,82550,10399,112257,1076988964,1.36,177
12,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,2023,미국,애니메이션,,578,56583,4682,106411,939695914,1.88,184
13,추락의 해부,2024-01-31,2023,프랑스,드라마(1),쥐스틴 트리에,236,35124,2193,105134,1031436703,2.99,445
14,악마와의 토크쇼,2024-05-08,2023,호주,공포(호러),,254,52402,4422,101253,983551800,1.93,399
15,브루탈리스트,2025-02-12,2024,미국,드라마,브래디 코베,302,30341,2967,95900,959223020,3.16,318
16,초속 5센티미터,2026-02-25,2025,일본,드라마(1),오쿠야마 요시유키,568,70220,6610,93404,892277200,1.33,164
17,고독한 미식가 더 무비,2025-03-19,2025,일본,드라마,마츠시게 유타카,662,57034,7512,93319,861605300,1.64,141
18,센티멘탈 밸류,2026-02-18,2025,노르웨이,드라마,요아킴 트리에,197,21496,1506,79202,778279040,3.68,402
19,아노라,2024-11-06,2024,미국,드라마(2),션 베이커,314,25490,3222,79017,781196620,3.1,252
20,시라트,2026-01-21,2025,스페인,드라마,올리베르 라셰,195,25821,1677,72363,712318730,2.8,371
21,로봇 드림,2024-03-13,2023,스페인(1),애니메이션,파블로 베르헤르,114,8387,845,71108,693711997,8.48,624
22,여행과 나날,2025-12-10,2025,일본,드라마,미야케 쇼,154,23587,1222,66520,635049141,2.82,432
23,이처럼 사소한 것들,2024-12-11,2024,미국,드라마,,78,15014,711,61405,580838760,4.09,787
24,10 라이브즈,2024-08-15,2024,영국,애니메이션,크리스토퍼 젠킨스,191,29182,1567,60606,441732800,2.08,317
25,화양연화 특별판,2025-12-31,2000,홍콩,드라마,왕가위,174,28164,1265,52606,527503522,1.87,302
26,정글번치: 월드투어,2024-01-31,2023,프랑스,애니메이션,,193,22804,1812,52193,431379500,2.29,270
27,오지: 사라진 숲을 찾아서,2024-09-13,2023,미국,애니메이션,,214,35662,1895,50986,396502975,1.43,238
28,투게더,2025-09-03,2025,미국,공포(호러)(1),마이클 쉥크스,251,30694,3543,50176,416224000,1.63,200
29,스즈메의 문단속: 다녀왔어,2024-01-10,2022,일본,애니메이션,신카이 마코토,185,24533,1419,48577,479767900,1.98,263
30,악은 존재하지 않는다,2024-03-27,2023,일본,드라마,하마구치 류스케,149,19164,1351,47163,462380650,2.46,317
31,프렌치 수프,2024-06-19,2023,프랑스,멜로/로맨스(1),트란 안 홍,234,19675,1690,46965,436751495,2.39,201
32,도그맨,2024-01-24,2025,미국,애니메이션,피터 헤이스팅스,496,41097,6723,46705,435005149,1.14,94
33,로마의 휴일,2025-08-20,1953,미국(1),멜로/로맨스(2),윌리엄 와일러,79,9039,681,46620,307243900,5.16,590
34,꼬마 판다 팡의 아프리카 대모험,2025-01-22,2024,네덜란드,애니메이션,"리처드 클라우스 , 카스텐 킬러리치",198,17782,1627,44979,359615000,2.53,227
35,그저 사고였을 뿐,2025-10-01,2025,이란,액션(2),자파르 파나히,102,13688,723,44558,430074610,3.26,437
36,롱레그스,2024-10-30,2023,미국,공포(호러)(1),,276,32906,2974,44495,395409400,1.35,161
37,페라리,2025-01-08,2024,오스트리아,드라마,,562,35965,6359,42298,407348520,1.18,75
38,톰과 제리: 황금나침반 대소동,2026-01-01,2025,미국,애니메이션,,406,29785,2327,40908,347484520,1.37,101
39,이사,2025-07-23,,,,,80,11562,583,39779,397602000,3.44,497
40,꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,2023,독일(2),애니메이션,,174,23004,1212,39016,300877200,1.7,224
41,파더 마더 시스터 브라더,2025-12-31,2025,프랑스,드라마,짐 자무쉬,68,13189,452,37981,348605560,2.88,559
42,스탑 메이킹 센스,2025-08-13,1984,미국,다큐멘터리,조나단 드미,81,14047,693,37571,436647381,2.67,464
43,덤 머니,2024-01-17,2023,미국,코미디(1),크레이그 질레스피,465,29130,5030,37262,346814109,1.28,80
44,페니키안 스킴,2025-05-28,2025,미국,드라마(1),웨스 앤더슨,339,23279,2791,37172,350365850,1.6,110
45,위 리브 인 타임,2026-04-08,2024,프랑스,멜로/로맨스(1),존 크로울리,242,22181,2617,34766,267302350,1.57,144
46,난징사진관,2025-11-05,2025,중국,드라마,신오,272,18911,2198,34703,315045380,1.84,128
47,메이 디셈버,2024-03-13,2023,미국,드라마,토드 헤인즈,400,21453,3214,33620,310032799,1.57,84
48,에밀리아 페레즈,2025-03-12,2024,프랑스,뮤지컬(1),자크 오디아르,365,20375,3136,33103,267151700,1.62,91
49,어글리 시스터,2025-08-20,2025,노르웨이(1),공포(호러),에밀리 블리치펠트,187,20214,1777,31866,310562900,1.58,170
50,바튼 아카데미,2024-02-21,2023,미국,코미디(1),알렉산더 페인,254,16214,2195,31621,297503999,1.95,124
51,드림 시나리오,2024-05-29,2023,미국,코미디(1),크리스토퍼 보글리,392,23533,3641,31539,258888629,1.34,80
52,언더더씨: 마법 산호초를 찾아서,2024-06-27,2023,독일,애니메이션,,215,12879,1023,30960,236804755,2.4,144
53,데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,2024,일본,애니메이션,,375,17975,3456,30801,259858020,1.71,82
54,폭탄,2026-03-18,2025,일본,스릴러,나가이 아키라,185,19013,1929,30798,241480450,1.62,166
55,러브 라이즈 블리딩,2024-07-10,2023,미국,범죄(1),로즈 글래스,139,19849,1980,30616,242722950,1.54,220
56,베러맨,2025-04-09,2024,영국,뮤지컬(1),마이클 그레이시,418,21900,4471,30612,240127300,1.4,73
57,몬테크리스토 백작,2026-02-13,2024,프랑스,드라마,알렉상드르 드 라 파텔리에르,100,13177,700,29566,248438160,2.24,296
58,퀴어,2025-06-20,,,,,235,17202,2367,29104,279192200,1.69,124
59,척의 일생,2025-12-24,2024,미국,드라마(1),마이크 플래너건,167,15833,1203,27793,268950730,1.76,166
60,나의 올드 오크,2024-01-17,2023,아일랜드,드라마,켄 로치,83,9918,788,26446,242020906,2.67,319
61,리틀 엠마,2024-10-25,2024,미국,애니메이션,레오 루이스 랴오,212,12897,1170,26297,189395100,2.04,124
62,북극백화점의 안내원,2024-06-19,2023,일본,애니메이션,이타즈 요시미,170,16573,1816,25928,225470800,1.56,153
63,굿 포츈,2026-01-07,2025,미국,코미디(1),아지즈 안사리,380,23626,3008,25871,227897170,1.1,68
64,노스페라투,2025-01-15,2024,미국,공포(호러),로버트 에거스,362,18547,3462,25830,263917500,1.39,71
65,르누아르,2026-04-22,2025,일본(1),드라마,하야카와 치에,132,12929,1444,25468,188773340,1.97,193
66,석류의 빛깔,2025-11-26,1969,소련,드라마,세르게이 파라자노프,59,11091,468,25334,255924800,2.28,429
67,마리아,2025-04-16,,,,,273,13606,2359,25082,225762160,1.84,92
68,포풍추영,2025-09-20,2025,홍콩(1),액션(1),래리 양,106,14666,738,24921,282691000,1.7,235
69,용감한 돌고래 벨루와 바닷속 친구들,2024-03-13,2023,캐나다,애니메이션,,180,11518,859,24426,179074580,2.12,136
70,누벨바그,2025-12-31,2025,프랑스,드라마,리차드 링클레이터,141,13483,1188,23477,189037750,1.74,167
71,화이트 버드,2025-03-12,2023,미국,드라마,마크 포스터,198,12222,1999,23194,172963900,1.9,117
72,베이비걸,2025-10-29,2024,미국,스릴러(2),할리나 레인,157,15442,2416,22859,176950720,1.48,146
73,태풍 클럽,2024-06-26,1985,일본,기타,소마이 신지,51,5901,433,22793,230987941,3.86,447
74,미세리코르디아,2025-07-16,2024,프랑스(2),드라마,알랭 기로디,42,4485,257,22766,225239950,5.08,542
75,연소일기,2024-11-13,2023,홍콩,드라마,탁역겸,288,13168,2109,22490,197373720,1.71,78
76,꼬마돼지 베이브와 타피티,2025-11-13,2025,독일,애니메이션,니나 웰스,359,15428,1462,22441,180779700,1.45,63
77,고스트캣 앙주,2025-01-22,2024,일본,애니메이션,"야마시타 노부히로 , 쿠노 요코",137,11915,1386,21364,189188300,1.79,156
78,200% 울프: 최강 푸들이 될 거야!,2025-03-12,2024,호주,애니메이션,알렉스 슈타더만,237,12405,1110,20261,151062900,1.63,85
79,바커스: 슈퍼스타가 될 거야,2024-06-01,2022,러시아,애니메이션,,173,13121,1064,20194,143076100,1.54,117
80,펫 트레인,2026-03-28,2025,프랑스,애니메이션,,184,12054,809,20011,151223550,1.66,109
81,비욘드 유토피아,2024-01-31,2023,미국,다큐멘터리,매들린 개빈,158,9437,1666,19878,188993099,2.11,126
82,탐정 말로,2024-03-21,2022,아일랜드(1),범죄(2),닐 조단,183,16686,1700,19546,142410400,1.17,107
83,새벽의 모든,2024-09-18,2024,일본,드라마,미야케 쇼,118,13286,939,19482,180713300,1.47,165
84,우리에게는 아직 내일이 있다,2026-03-04,2023,이탈리아,드라마,,84,8439,687,19378,167570340,2.3,231
85,"1초 앞, 1초 뒤",2024-06-19,2023,일본,멜로/로맨스(1),야마시타 노부히로,266,15973,1909,19051,166231939,1.19,72
86,두 검사,2026-04-01,2025,프랑스(2),기타,세르게이 로즈니차,51,5581,339,18812,174723610,3.37,369
87,리얼 페인,2025-01-15,2024,미국,드라마(1),제시 아이젠버그,284,11114,2937,18658,178517080,1.68,66
88,비발디와 나,2026-04-29,2025,이탈리아,드라마,다미아노 미키엘레토,49,6280,341,18242,160258900,2.9,372
89,이매큘레이트,2024-07-17,2024,미국,공포(호러),마이클 모한,191,17279,1654,18142,168665912,1.05,95
90,미야자키 하야오: 자연의 영혼,2025-05-28,2024,프랑스,다큐멘터리,레오 파비에,220,12368,1877,18061,147879500,1.46,82
91,우리가 빛이라 상상하는 모든 것,2025-04-23,2024,인도,드라마,파얄 카파디아,63,5925,567,17561,165228200,2.96,279
92,힌드의 목소리,2026-04-15,2025,프랑스,드라마,,116,9496,897,17331,158717380,1.83,149
93,마더스,2024-04-03,2024,미국,스릴러,브누아 들롬,207,13901,1645,17275,149829982,1.24,83
