영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
스즈메의 문단속,2023-03-08,5593118,57338491841,1,8,2026-04
비긴 어게인,2014-08-13,3751537,30020621271,65,601,2026-07
그대들은 어떻게 살 것인가,2023-10-25,2015965,19608939412,28,148,2024-03
"색, 계",2007-11-08,1936077,12763760300,1,1,2025-03
위플래쉬,2015-03-12,1731938,14033758925,3,8,2025-06
라이프 오브 파이,2013-01-01,1656537,16491219970,30,172,2026-04
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,1271951,12814875259,1,7,2026-04
백룸,2026-05-27,1213349,12962922830,262,3398,2026-07
미나리,2021-03-03,1135436,10220556650,1,2,2026-05
노트북,2004-11-26,851771,6638027790,86,1230,2026-06
그랜드 부다페스트 호텔,2014-03-20,845316,6639778922,2,6,2026-05
싱 스트리트,2016-05-19,616207,4990200472,30,306,2026-07
이터널 선샤인,2005-11-10,599284,4757530492,8,34,2026-03
괴물,2023-11-29,571201,5633646787,1,1,2026-07
남은 인생 10년,2023-05-24,562828,5721326408,1,4,2024-07
서브스턴스,2024-12-11,561934,5481959540,1,4,2026-07
너의 췌장을 먹고 싶어,2017-10-25,507643,4053421170,1,2,2025-08
판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,493810,2975183548,1,1,2025-11
8번 출구,2025-10-22,450206,4402823930,5,8,2026-02
그린 북,2019-01-09,448017,3731913760,1,6,2025-12
러빙 빈센트,2017-11-09,433007,3469568071,1,1,2026-02
나의 소녀시대,2016-05-12,424500,3440462850,1,7,2024-12
여름날 우리,2021-08-25,424142,4085427715,1,2,2026-07
미드나잇 인 파리,2012-07-05,404845,3041688977,1,1,2025-08
에브리씽 에브리웨어 올 앳 원스,2022-10-12,397531,4218145249,1,4,2026-02
그녀,2014-05-22,378664,3090973644,1,4,2026-02
캐롤,2016-02-04,369832,3074579035,1,4,2025-12
늑대아이,2012-09-13,356979,2488461571,11,70,2026-05
내 사랑,2017-07-12,338800,2480014925,1,3,2025-10
콘클라베,2025-03-05,334972,3194605300,1,8,2026-01
500일의 썸머,2010-01-21,322718,2605426100,1,12,2025-09
소년시절의 너,2020-07-09,292798,2704847980,1,4,2024-12
원스,2007-09-20,286023,2025996820,7,20,2024-12
원더,2017-12-27,279055,2132930329,1,2,2026-05
러브레터,1999-11-20,259753,2275378087,1,12,2026-01
콜 미 바이 유어 네임,2018-03-22,256473,2221543868,1,8,2026-06
폭풍우 치는 밤에,2006-02-09,254452,1465168200,1,3,2024-12
딥,2017-10-03,230068,1772272000,1,1,2026-03
12 솔져스,2018-01-31,224299,1836888400,1,3,2026-06
비포 미드나잇,2013-05-22,221514,1644365285,1,1,2025-02
국보,2025-11-19,221160,2151220110,1,4,2026-07
브로크백 마운틴,2006-03-01,220065,1458864300,1,2,2024-05
존 오브 인터레스트,2024-06-05,207833,2056468040,1,7,2026-07
모노노케 히메,2003-04-25,204707,2482893910,1,1,2026-07
보이후드,2014-10-23,193879,1492824218,1,8,2026-07
"지금, 만나러 갑니다",2005-03-25,187325,1210858900,2,6,2025-12
예수는 역사다,2017-07-13,186870,1365010392,1,5,2026-04
톡 투 미,2023-11-01,186760,1762336871,19,99,2024-09
로마 위드 러브,2013-04-18,185322,1354338437,1,1,2025-05
밤쉘: 세상을 바꾼 폭탄선언,2020-07-08,182666,1549800340,1,2,2024-01
플로우,2025-03-19,181275,1729225550,1,2,2026-05
문라이트,2017-02-22,180981,1431116475,1,1,2025-09
허트 로커,2010-04-22,177893,1337462030,1,2,2025-07
어느 가족,2018-07-26,176630,1460480201,1,2,2026-05
말할 수 없는 비밀,2008-01-10,172661,1213457550,19,136,2025-02
패왕별희 디 오리지널,2017-03-30,170788,1599767158,2,14,2026-05
마담 프루스트의 비밀정원,2014-07-24,170216,1348224613,1,2,2026-04
인생은 아름다워,1999-03-06,165235,1196209000,1,2,2026-05
타오르는 여인의 초상,2020-01-16,163921,1381638336,1,2,2026-05
다윗,2026-07-10,163012,1609850770,669,8367,2026-07
가여운 것들,2024-03-06,156159,1561873065,1,18,2024-06
아메리칸 셰프,2015-01-07,156019,1271390429,1,2,2026-06
해피엔드,2025-04-30,152065,1522708770,42,493,2026-07
가버나움,2019-01-24,148556,1225668519,1,1,2026-05
비포 선셋,2004-10-22,143101,1024454092,1,1,2025-02
퍼펙트 데이즈,2024-07-03,142633,1344642331,1,1,2026-07
로빈슨 크루소,2016-09-07,142021,1091542350,2,5,2026-06
