날짜,영화명,좌석수,좌석판매율,좌석점유율
2024-01-01,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,195315,29.8%,7.9%
2024-01-01,아쿠아맨과 로스트 킹덤,192829,25.6%,7.8%
2024-01-01,트롤: 밴드 투게더,110295,26.2%,4.4%
2024-01-01,괴물,32834,26.5%,1.3%
2024-01-01,더 퍼스트 슬램덩크,801,25.3%,0.0%
2024-01-01,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",27831,23.2%,1.1%
2024-01-01,말하고 싶은 비밀,16109,23.3%,0.6%
2024-01-01,류이치 사카모토: 오퍼스,31889,9.4%,1.2%
2024-01-01,크레센도,13449,18.8%,0.5%
2024-01-01,사랑은 낙엽을 타고,3777,27.8%,0.1%
2024-01-01,리빙: 어떤 인생,3294,22.1%,0.1%
2024-01-01,클레오의 세계,131,15.2%,0.0%
2024-01-01,나폴레옹,3146,17.1%,0.1%
2024-01-01,그대들은 어떻게 살 것인가,1862,17.0%,0.0%
2024-01-01,피아니스트의 전설,2051,14.3%,0.0%
2024-01-01,티처스 라운지,2575,11.2%,0.1%
2024-01-01,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,1373,14.2%,0.0%
2024-01-01,쏘우 X,1788,13.9%,0.0%
2024-01-01,드라이브 마이 카,692,20.6%,0.0%
2024-01-01,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,539,22.4%,0.0%
2024-01-01,힐마 아프 클린트 - 미래를 위한 그림,1085,7.8%,0.0%
2024-01-01,이터널 선샤인,152,69.7%,0.0%
2024-01-01,립세의 사계,729,40.3%,0.0%
2024-01-01,쿼바디스,900,32.4%,0.0%
2024-01-01,2만 종의 벌,1284,4.3%,0.0%
2024-01-01,"그리고, 살아간다",1027,6.8%,0.0%
2024-01-01,조이랜드,212,4.7%,0.0%
2024-01-01,블루 자이언트,163,39.2%,0.0%
2024-01-01,모정,1144,13.2%,0.0%
2024-01-01,공포의 보수,340,15.2%,0.0%
2024-01-01,패티코트 작전,780,8.2%,0.0%
2024-01-01,토스카,463,11.6%,0.0%
2024-01-01,릴리 슈슈의 모든 것,116,0.8%,0.0%
2024-01-01,러브레터,52,73.0%,0.0%
2024-01-01,프레디의 피자가게,336,10.4%,0.0%
2024-01-01,헝거게임: 노래하는 새와 뱀의 발라드,253,16.9%,0.0%
2024-01-01,에브리씽 에브리웨어 올 앳 원스,123,17.0%,0.0%
2024-01-01,어느 가족,93,49.4%,0.0%
2024-01-01,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,203,21.1%,0.0%
2024-01-01,가위손,152,7.2%,0.0%
2024-01-01,찬란한 내일로,50,82.0%,0.0%
2024-01-01,동경 이야기,58,27.5%,0.0%
2024-01-01,날씨의 아이,128,3.1%,0.0%
2024-01-01,형제는 용감하였다,597,5.3%,0.0%
2024-01-01,그렇게 아버지가 된다,76,38.1%,0.0%
2024-01-01,너의 이름은.,170,9.4%,0.0%
2024-01-01,러브액츄얼리: 크리스마스 에디션,40,35.0%,0.0%
2024-01-01,스즈메의 문단속,143,1.3%,0.0%
2024-01-01,안녕하세요,58,27.5%,0.0%
2024-01-01,너는 내 아들,52,21.1%,0.0%
2024-01-01,키리에의 노래: 디렉터스 컷,148,0.6%,0.0%
2024-01-01,샤인 리마스터링,90,8.8%,0.0%
2024-01-01,견왕: 이누오,128,0.7%,0.0%
2024-01-01,거울 속 외딴 성,123,1.6%,0.0%
2024-01-01,이빨요정 비올레타: 요정나라로 돌아갈래!,170,0.5%,0.0%
2024-01-01,나 혼자만 레벨업 : 프리뷰,128,3.1%,0.0%
2024-01-01,라스트 서바이버,91,1.0%,0.0%
2024-01-02,위시,255,100.0%,0.0%
2024-01-02,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,157932,12.2%,7.1%
2024-01-02,아쿠아맨과 로스트 킹덤,187044,7.9%,8.4%
2024-01-02,트롤: 밴드 투게더,72492,10.4%,3.2%
2024-01-02,괴물,35465,12.3%,1.6%
2024-01-02,더 퍼스트 슬램덩크,312,7.0%,0.0%
2024-01-02,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",23824,14.0%,1.0%
2024-01-02,말하고 싶은 비밀,15526,10.1%,0.7%
2024-01-02,류이치 사카모토: 오퍼스,35755,5.2%,1.6%
2024-01-02,크레센도,15050,12.7%,0.6%
2024-01-02,사랑은 낙엽을 타고,3891,9.1%,0.1%
2024-01-02,리빙: 어떤 인생,2383,15.9%,0.1%
2024-01-02,클레오의 세계,91,2.1%,0.0%
2024-01-02,나폴레옹,4123,10.2%,0.1%
