순위,영화명,개봉일,대표국적,등급,장르,감독,배급사,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1,발레리나,2025-08-06,미국,청소년관람불가,"액션,스릴러",렌 와이즈먼,판씨네마(주),670,757,207730,109388,289030,323108,1.56,52.7,279492,15.5,664472,16.5,확정,43395,25629,27267,46277,35844,14612,14706,8780,11948,19142,18151,12350,5658,5271,5155
2,긴키 지방의 어느 장소에 대하여,2025-08-13,일본,15세이상관람가,"미스터리,공포(호러)",시라이시 코지,(주)바이포엠스튜디오,344,438,123184,73139,201337,272653,2.21,59.4,65144,21.7,224217,32.6,확정,14146,14359,24374,25833,22932,10956,10584,10273,9463,8285,18908,18460,6675,6089,8226
3,더 폴: 디렉터스 컷,2024-12-25,영국,12세이상관람가,"드라마,판타지",타셈 싱,주식회사 오디언스,83,115,24146,10619,42439,190538,7.89,44.0,15025,33.0,46501,22.8,확정,4951,2872,2471,4391,3757,2884,2820,3751,2228,2178,3668,2790,1751,1927,1710
4,첫사랑 엔딩,2025-08-27,중국,전체관람가,멜로/로맨스,리우 유린,(주)바이포엠스튜디오,489,494,76847,40484,115336,138470,1.8,52.7,80691,19.4,223162,18.1,확정,15615,8238,8755,15295,16434,5894,6616,4071,3468,4764,9976,10512,3001,2697,2068
5,비키퍼,2024-04-03,미국,청소년관람불가,"액션,스릴러",데이비드 에이어,(주)바른손이앤에이,688,713,80564,40127,96911,102969,1.28,49.8,204458,8.7,585933,6.8,확정,17837,11109,12304,15628,12195,5012,6479,4696,2275,2175,2442,1973,1769,1017,462
6,하우스메이드,2026-01-28,미국,청소년관람불가,"스릴러,미스터리",폴 페이그,(주)누리픽쳐스,533,540,53095,28418,64916,68333,1.29,53.5,109698,8.5,353752,8.0,확정,9297,6330,7059,12160,9199,4477,4573,1509,1372,1825,2191,1461,1359,2104,26
7,너자 2,2026-02-25,중국,12세이상관람가,애니메이션,,"주식회사 콘텐츠존,(주)다자인소프트",277,277,40419,18868,54443,66134,1.64,46.7,72422,9.6,163770,11.5,확정,6936,5841,3638,7981,7249,6934,1840,2512,2388,1861,2894,3831,208,330,1533
8,그린랜드 2: 마이그레이션,2026-07-01,영국,12세이상관람가,"액션,SF",릭 로먼 워,스튜디오 초이스 주식회사,378,378,40782,20702,54140,55277,1.36,50.8,94263,8.7,212160,9.8,,8165,6288,5656,7954,7092,2588,3039,1501,3012,2819,2277,1735,1346,668,483
9,라스트 마일,2025-03-26,일본,12세이상관람가,"스릴러,드라마",츠카하라 아유코,(주)플레이그램,148,166,23462,13794,38054,53013,2.26,58.8,42700,9.4,127142,10.8,확정,4031,1800,4514,5565,3715,1990,1847,1731,1879,2608,4120,2227,982,1045,1747
10,더 커버넌트,2024-09-27,미국,15세이상관람가,"전쟁,액션,드라마",가이 리치,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",230,230,22814,14953,31810,52262,2.29,65.5,44644,13.5,119839,12.5,확정,6012,4633,4308,3012,1651,1095,2103,503,812,582,1093,1586,2738,1682,2153
