수집시각,순위,영화명,예매율,예매관객수,누적관객수
2026-06-30 11:22:23,1,토이 스토리 5,21.6%,"35,162","1,658,038"
2026-06-30 11:22:23,2,마티 슈프림,17.4%,"28,252","1,197"
2026-06-30 11:22:23,3,눈동자,11.4%,"18,494","343,722"
2026-06-30 11:22:23,4,극장판 도라에몽: 신 진구의 해저비밀성,6.0%,"9,840",902
2026-06-30 11:22:23,5,그린랜드 2: 마이그레이션,5.7%,"9,290",418
2026-06-30 11:22:23,6,군체,3.8%,"6,245","5,728,425"
2026-06-30 11:22:23,7,레디 오어 낫: 죽음의 숨바꼭질,2.8%,"4,528",166
2026-06-30 11:22:23,9,와일드 씽,2.1%,"3,436","1,243,489"
2026-06-30 11:22:23,10,극장판 암살교실 모두의 시간,2.0%,"3,208",0
2026-06-30 11:22:23,11,그림자 아이,1.8%,"2,914",677
2026-06-30 12:00:02,1,토이 스토리 5,21.3%,"35,419","1,658,038"
2026-06-30 12:00:02,2,마티 슈프림,17.0%,"28,324","1,197"
2026-06-30 12:00:02,3,눈동자,11.3%,"18,750","343,722"
2026-06-30 12:00:02,4,극장판 도라에몽: 신 진구의 해저비밀성,5.9%,"9,860",902
2026-06-30 12:00:02,5,그린랜드 2: 마이그레이션,5.6%,"9,306",418
2026-06-30 12:00:02,6,군체,3.7%,"6,221","5,728,425"
2026-06-30 12:00:02,7,짝사랑 세계,3.0%,"4,975","12,770"
2026-06-30 12:00:02,8,레디 오어 낫: 죽음의 숨바꼭질,2.7%,"4,526",166
2026-06-30 12:00:02,10,와일드 씽,2.1%,"3,459","1,243,489"
2026-06-30 12:00:02,11,극장판 암살교실 모두의 시간,1.9%,"3,229",0
