날짜,순위,영화명,개봉일,관객수,누적관객수,매출액,누적매출액,스크린수,상영횟수,좌석수,좌석판매율,좌석점유율
2023-01-01,1,아바타: 물의 길,2022-12-14,"429,533","7,742,682","5,546,745,851","95,843,585,053","2,047","7,148","1,139,079",37.7%,49.8%
2023-01-01,2,영웅,2022-12-21,"185,254","1,672,933","1,908,571,119","16,442,796,442","1,099","3,563","482,232",38.4%,21.1%
2023-01-01,3,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"29,733","692,130","318,755,877","7,068,912,679",402,775,,,
2023-01-01,4,젠틀맨,2022-12-28,"26,293","178,851","276,398,168","1,697,482,823",715,"1,620","191,530",13.7%,8.4%
2023-01-01,5,올빼미,2022-11-23,"23,419","3,246,186","241,944,506","32,011,012,056",448,674,"78,150",30.0%,3.4%
2023-01-01,6,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,"17,049","373,832","162,441,529","3,579,760,605",491,632,"69,741",24.5%,3.0%
2023-01-01,7,스위치,2023-01-04,"8,732","31,880","91,335,982","311,924,866",400,510,"61,540",14.2%,2.7%
2023-01-01,8,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,"6,787","124,810","65,057,205","1,158,912,824",338,402,"45,523",14.9%,2.0%
2023-01-01,9,몬스터 신부: 101번째 프로포즈,2022-12-28,"4,614","25,652","45,186,900","235,671,900",211,276,,,
2023-01-01,10,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,"3,869","197,213","36,730,900","1,777,163,300",115,144,"17,502",22.1%,0.8%
2023-01-02,1,아바타: 물의 길,2022-12-14,"145,308","7,887,990","1,869,536,653","97,713,121,706","1,992","6,578","1,056,182",13.8%,49.8%
2023-01-02,2,영웅,2022-12-21,"68,901","1,741,834","653,536,764","17,096,333,206","1,036","3,553","487,194",14.1%,23.0%
2023-01-02,3,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,"14,121","706,251","144,187,960","7,213,100,639",376,772,,,
2023-01-02,4,올빼미,2022-11-23,"10,471","3,256,657","102,025,344","32,113,037,400",427,710,"81,979",12.8%,3.9%
2023-01-02,5,젠틀맨,2022-12-28,"10,305","189,156","98,087,268","1,795,570,091",645,"1,566","190,105",5.4%,9.0%
2023-01-02,6,신비아파트 극장판 차원도깨비와 7개의 세계,2022-12-14,"7,332","381,164","64,552,288","3,644,312,893",390,512,"58,751",12.5%,2.8%
2023-01-02,7,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,"3,676","128,486","32,596,592","1,191,509,416",296,337,"37,114",9.9%,1.8%
2023-01-02,8,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,"2,693","199,906","23,805,300","1,800,968,600",98,114,"13,643",19.7%,0.6%
2023-01-02,9,스위치,2023-01-04,"2,475","34,355","25,857,000","337,781,866",7,8,"2,475",100.0%,0.1%
2023-01-02,10,몬스터 신부: 101번째 프로포즈,2022-12-28,"1,557","27,209","14,456,900","250,128,800",173,202,,,
