11:28:26 시작: 2023-01-01~2026-07-04 (1280일), 이미 0일 완료
11:29:09 진행 2023-01-20: 누적 20일 수집(영화 10편)
11:29:55 진행 2023-02-09: 누적 40일 수집(영화 10편)
11:30:46 진행 2023-03-01: 누적 60일 수집(영화 10편)
11:31:28 진행 2023-03-21: 누적 80일 수집(영화 10편)
11:32:16 진행 2023-04-10: 누적 100일 수집(영화 10편)
11:33:08 진행 2023-04-30: 누적 120일 수집(영화 10편)
11:33:54 진행 2023-05-20: 누적 140일 수집(영화 10편)
11:34:40 진행 2023-06-09: 누적 160일 수집(영화 10편)
11:35:25 진행 2023-06-29: 누적 180일 수집(영화 10편)
11:36:19 진행 2023-07-19: 누적 200일 수집(영화 10편)
11:37:03 진행 2023-08-08: 누적 220일 수집(영화 10편)
11:37:52 진행 2023-08-28: 누적 240일 수집(영화 10편)
11:38:40 진행 2023-09-17: 누적 260일 수집(영화 10편)
11:39:26 진행 2023-10-07: 누적 280일 수집(영화 10편)
11:40:18 진행 2023-10-27: 누적 300일 수집(영화 10편)
11:41:08 진행 2023-11-16: 누적 320일 수집(영화 10편)
11:42:00 진행 2023-12-06: 누적 340일 수집(영화 10편)
11:42:49 진행 2023-12-26: 누적 360일 수집(영화 10편)
11:43:27 진행 2024-01-15: 누적 380일 수집(영화 10편)
11:44:09 진행 2024-02-04: 누적 400일 수집(영화 10편)
11:44:57 진행 2024-02-24: 누적 420일 수집(영화 10편)
11:45:44 진행 2024-03-15: 누적 440일 수집(영화 10편)
11:46:25 진행 2024-04-04: 누적 460일 수집(영화 10편)
11:47:10 진행 2024-04-24: 누적 480일 수집(영화 10편)
11:47:49 진행 2024-05-14: 누적 500일 수집(영화 10편)
11:48:31 진행 2024-06-03: 누적 520일 수집(영화 10편)
11:49:17 진행 2024-06-23: 누적 540일 수집(영화 9편)
11:50:13 진행 2024-07-13: 누적 560일 수집(영화 10편)
11:51:06 진행 2024-08-02: 누적 580일 수집(영화 10편)
11:51:44 진행 2024-08-22: 누적 600일 수집(영화 10편)
11:52:27 진행 2024-09-11: 누적 620일 수집(영화 10편)
11:53:16 진행 2024-10-01: 누적 640일 수집(영화 10편)
11:54:02 진행 2024-10-21: 누적 660일 수집(영화 10편)
11:54:51 진행 2024-11-10: 누적 680일 수집(영화 10편)
11:55:37 진행 2024-11-30: 누적 700일 수집(영화 10편)
11:56:21 진행 2024-12-20: 누적 720일 수집(영화 10편)
11:57:05 진행 2025-01-09: 누적 740일 수집(영화 10편)
11:57:47 진행 2025-01-29: 누적 760일 수집(영화 10편)
11:58:30 진행 2025-02-18: 누적 780일 수집(영화 10편)
11:59:10 진행 2025-03-10: 누적 800일 수집(영화 10편)
11:59:50 진행 2025-03-30: 누적 820일 수집(영화 10편)
12:00:38 진행 2025-04-19: 누적 840일 수집(영화 10편)
12:01:29 진행 2025-05-09: 누적 860일 수집(영화 10편)
12:02:14 진행 2025-05-29: 누적 880일 수집(영화 9편)
12:03:05 진행 2025-06-18: 누적 900일 수집(영화 10편)
12:03:51 진행 2025-07-08: 누적 920일 수집(영화 10편)
12:04:40 진행 2025-07-28: 누적 940일 수집(영화 10편)
12:05:26 진행 2025-08-17: 누적 960일 수집(영화 10편)
12:06:23 진행 2025-09-06: 누적 980일 수집(영화 10편)
12:07:11 진행 2025-09-26: 누적 1000일 수집(영화 10편)
12:07:55 진행 2025-10-16: 누적 1020일 수집(영화 10편)
12:08:42 진행 2025-11-05: 누적 1040일 수집(영화 10편)
12:09:27 진행 2025-11-25: 누적 1060일 수집(영화 10편)
12:10:17 진행 2025-12-15: 누적 1080일 수집(영화 10편)
12:11:04 진행 2026-01-04: 누적 1100일 수집(영화 10편)
12:11:49 진행 2026-01-24: 누적 1120일 수집(영화 10편)
12:12:27 진행 2026-02-13: 누적 1140일 수집(영화 10편)
12:13:11 진행 2026-03-05: 누적 1160일 수집(영화 10편)
12:13:50 진행 2026-03-25: 누적 1180일 수집(영화 10편)
12:14:46 실패 2026-04-10: <urlopen error [WinError 10060] 연결된 구성원으로부터 응답이 없어 연결하지 못했거나, 호스트로부터 응답이 없어 연결이 
12:15:03 진행 2026-04-15: 누적 1200일 수집(영화 10편)
12:15:46 진행 2026-05-05: 누적 1220일 수집(영화 10편)
12:16:25 진행 2026-05-25: 누적 1240일 수집(영화 10편)
12:17:07 진행 2026-06-14: 누적 1260일 수집(영화 9편)
12:17:50 진행 2026-07-04: 누적 1280일 수집(영화 0편)
12:17:50 완료: 총 1280일 신규 수집
