순위,영화명,개봉일,대표국적,등급,장르,감독,배급사,개봉스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,첫주말일수,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1,10 라이브즈,2024-08-15,영국,전체관람가,애니메이션,크리스토퍼 젠킨스,(주)박수엔터테인먼트,191,29182,13257,37268,60606,2.08,45.4,35983,31.0,88455,15.0,3,확정,11153,2725,5198,5334,998,1128,2646,884,600,2767,2878,346,376,235,1116
2,점보,2026-02-18,인도네시아,전체관람가,애니메이션,,(주)바이포엠스튜디오,371,43585,22330,50285,52582,1.21,51.2,46665,27.1,135684,16.5,3,확정,12648,2470,3263,9260,9807,2584,3553,722,1010,1117,1798,814,1038,201,99
3,정글번치: 월드투어,2024-01-31,프랑스,전체관람가,애니메이션,,(주)무비다이브,193,22804,16691,43485,52193,2.29,73.2,29153,7.2,104475,16.0,3,확정,2085,1738,2421,7227,7043,909,1381,788,1295,3803,2820,4699,6418,858,514
4,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,영국,전체관람가,애니메이션,,와이드 릴리즈(주),208,30471,10480,39910,51308,1.68,34.4,46800,15.0,121097,8.7,3,확정,7030,3955,3329,5677,1665,4570,4245,410,660,677,357,639,3144,3552,374
5,오지: 사라진 숲을 찾아서,2024-09-13,미국,전체관람가,애니메이션,,"(주)팝엔터테인먼트,(주)플레이그램",214,35662,17992,48053,50986,1.43,50.5,28872,6.8,104695,17.2,3,확정,1968,7436,8588,5076,5021,7067,506,1603,4719,4476,474,432,593,94,122
6,엘리: 몬스터 패밀리,2025-02-14,독일,전체관람가,애니메이션,"피엣 드 라이커,예스퍼 묄러","(주)올스타엔터테인먼트,(주)플레이그램",345,23198,16339,37749,49325,2.13,70.4,35281,12.3,129235,12.6,3,확정,4324,6355,5660,1409,1499,1821,2130,1525,4067,4052,1694,1056,1091,1066,828
7,아이엠 티라노,2024-03-01,중국,전체관람가,애니메이션,,"주식회사 원더스튜디오,영화사빅",229,36317,33962,43684,49305,1.36,93.5,41929,36.4,118668,28.6,3,확정,15261,9880,8821,848,380,263,864,102,3548,3516,56,30,57,58,29
8,꼬마 판다 팡의 아프리카 대모험,2025-01-22,네덜란드,전체관람가,애니메이션,"리처드 클라우스,카스텐 킬러리치",(주)디스테이션,198,17782,8577,27622,44979,2.53,48.2,27966,6.2,81080,10.6,3,확정,1729,1168,1124,3503,3950,3596,2712,1678,2470,882,1769,1481,448,1112,713
9,바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해,2024-08-14,영국,전체관람가,"애니메이션,액션,어드벤처",,와이드 릴리즈(주),236,23559,10161,32253,42322,1.8,43.1,30757,5.8,94916,10.7,3,확정,1777,10280,1700,4463,3998,563,778,503,1012,1072,2600,2756,360,391,362
10,스노우 폭스2: 몬스터타운 구하기,2025-04-26,미국,전체관람가,애니메이션,,(주)팝엔터테인먼트,224,16559,9478,36577,41161,2.49,57.2,41309,11.5,81761,11.6,2,확정,4736,4742,395,252,458,3958,2018,3293,2772,7710,5164,355,24,700,1476
11,톰과 제리: 황금나침반 대소동,2026-01-01,미국,전체관람가,애니메이션,,TCO(주)더콘텐츠온,406,29785,13032,36981,40908,1.37,43.8,55498,23.4,131449,9.9,3,확정,13003,3733,5102,4197,992,1147,1611,1076,1462,1635,1444,428,505,646,396
12,바다 탐험대 옥토넛 어보브 앤 비욘드 : 콰지의 깜짝 어드벤처,2025-09-27,영국,전체관람가,"애니메이션,액션,어드벤처",,와이드 릴리즈(주),279,17842,12175,32746,40689,2.28,68.2,49004,10.0,98791,12.3,2,확정,4909,7266,387,404,233,239,4404,2728,1962,2030,2945,1837,2115,1287,1146
13,꼬마참새 리차드: 신비한 보석 탐험대,2024-05-01,독일,전체관람가,애니메이션,,(주)스튜디오디에이치엘,174,23004,11668,31113,39016,1.7,50.7,22686,17.0,65445,17.8,3,확정,3851,825,1056,3147,7465,5898,762,392,520,642,2394,2911,847,403,1657
14,바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,2026-02-12,영국,전체관람가,"애니메이션,액션,어드벤처",,와이드 릴리즈(주),227,19331,7948,26497,34024,1.76,41.1,20901,7.0,87760,9.1,3,확정,1463,807,3618,3523,3602,2217,4101,506,620,1762,2086,802,775,615,887
15,빌리와 용감한 녀석들: 스노우 베어 구조대,2024-11-07,멕시코,전체관람가,애니메이션,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테",(주)박수엔터테인먼트,323,15724,12619,23476,33941,2.16,80.3,15389,7.5,99303,12.7,3,확정,1152,1519,5287,5813,607,546,800,725,665,2259,2451,552,330,770,280
16,언더더씨: 마법 산호초를 찾아서,2024-06-27,독일,전체관람가,애니메이션,,(주)팝엔터테인먼트,215,12879,8762,20633,30960,2.4,68.0,11546,9.6,66103,13.3,3,확정,1107,718,3589,4455,423,1013,1574,903,1397,1622,1888,152,722,1070,1133
17,슈퍼 엘프: 빨간모자 비밀요정,2025-01-15,독일,전체관람가,애니메이션,우테 폰 뮌쇼폴,(주)박수엔터테인먼트,171,15736,10654,23862,28425,1.81,67.7,26890,6.7,105992,10.1,3,확정,1813,1716,2986,3500,4168,714,839,233,854,659,2348,2924,597,511,269
18,리틀 엠마,2024-10-25,미국,전체관람가,애니메이션,레오 루이스 랴오,(주)블루라벨픽쳐스,212,12897,10505,22197,26297,2.04,81.5,18728,9.6,95009,11.1,3,확정,1791,4204,4510,216,621,320,1235,369,3240,3405,1208,309,436,333,164
19,백설공주와 일곱난쟁이,2025-04-10,미국,전체관람가,애니메이션,,(주)박수엔터테인먼트,334,16330,14236,21629,25062,1.53,87.2,20778,3.8,126695,11.2,3,확정,781,693,6331,7212,424,475,414,34,90,2643,2379,44,60,49,18
