순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1,왕과 사는 남자,2026-02-04,12세이상관람가,"사극,드라마",장항준,(주)쇼박스,,1658,2262,1165295,761820,3491462,16912884,14.51,65.4,,,,,확정,117783,91731,126625,327112,308083,98379,95582,86924,83916,133573,357886,465254,537175,661439,653634
2,파묘,2024-02-22,15세이상관람가,"미스터리,공포(호러)",장재현,(주)쇼박스,,1944,2367,3306929,1965308,6600370,11914882,3.6,59.4,,,,,확정,330118,374492,770974,819842,328445,298464,384594,384294,851600,832278,652059,207996,190540,174674,160362
3,범죄도시4,2024-04-24,15세이상관람가,"액션,범죄",허명행,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트",,2930,2980,4964920,2918531,8678023,11502928,2.32,58.8,,,,,확정,821466,473054,651172,1219038,1048321,362002,389867,784775,250557,380639,689896,851693,606796,148747,124517
4,베테랑2,2024-09-13,15세이상관람가,"액션,범죄",류승완,(주)씨제이이엔엠,,2682,2691,4668044,2077286,5979633,7525906,1.61,44.5,,,,,확정,497498,755086,824702,764681,854175,738619,233283,218067,386734,309695,99916,88771,132449,75957,93990
5,군체,2026-05-21,15세이상관람가,"액션,스릴러",연상호,(주)쇼박스,,1964,2110,2359977,1283342,4025248,5943494,2.52,54.4,,,,,확정,199762,230039,475783,577520,516980,150488,209405,125432,182224,423314,365458,101982,135391,331470,79915
6,좀비딸,2025-07-30,12세이상관람가,"코미디,드라마",필감성,(주)넥스트엔터테인먼트월드(NEW),,1557,1598,2189309,1165727,3522045,5642628,2.58,53.2,,,,,확정,430087,240977,269926,479554,416247,184865,167653,151530,135685,161210,354254,324844,104952,100261,90507
7,하얼빈,2024-12-24,15세이상관람가,드라마,우민호,(주)씨제이이엔엠,,2115,2125,2518158,903847,3705149,4915182,1.95,35.9,,,,,확정,381521,847790,227461,196103,376363,331381,157539,212397,340484,92862,91398,218542,174400,56908,49163
8,파일럿,2024-07-31,12세이상관람가,코미디,김한결,롯데컬처웍스(주)롯데엔터테인먼트,,1827,1956,1995842,1095439,3160564,4719102,2.36,54.9,,,,,확정,373859,223746,249189,441577,404673,157828,144970,131424,127355,147241,307553,268428,93481,89240,85345
9,소방관,2024-12-04,12세이상관람가,드라마,곽경택,(주)바이포엠스튜디오,,983,1594,908883,569277,1913549,3859617,4.25,62.6,,,,,확정,81673,82308,112028,218560,238689,89397,86228,96379,91615,138829,259958,258325,80049,79511,81225
10,야당,2025-04-16,청소년관람불가,"범죄,액션",황병국,메가박스중앙(주) 플러스엠 엔터테인먼트,,1683,1850,943234,610183,1742023,3378276,3.58,64.7,,,,,확정,85705,73742,107265,263212,239706,82246,91358,78725,74461,108658,220908,191882,65681,58474,80931
11,살목지,2026-04-08,15세이상관람가,"공포(호러),스릴러",이상민,(주)쇼박스,,1191,1511,835403,536418,1521581,3240784,3.88,64.2,,,,,확정,89911,70759,111766,226983,197669,73629,64686,68743,58662,98966,211494,161640,46984,39689,43400
12,어쩔수가없다,2025-09-24,15세이상관람가,"스릴러,코미디",박찬욱,(주)씨제이이엔엠,,2114,2114,1211084,609291,2183362,2942822,2.43,50.3,,,,,확정,331495,109726,127023,242013,240255,79230,81342,75260,89974,178346,146996,133229,167675,180798,136746
13,만약에 우리,2025-12-31,15세이상관람가,멜로/로맨스,김도영,(주)쇼박스,,961,1116,574140,263919,1136037,2603048,4.53,46.0,,,,,확정,110325,100059,64445,100809,98665,47857,51980,54918,58278,72659,134301,133310,54601,53830,52687
14,탈주,2024-07-03,12세이상관람가,액션,이종필,메가박스중앙(주) 플러스엠 엔터테인먼트,,1234,1234,856905,529099,1423670,2562529,2.99,61.7,,,,,확정,112667,80960,110013,222064,197022,69083,65096,66612,57662,60050,147099,142179,46999,46164,50064
15,히트맨2,2025-01-22,15세이상관람가,"코미디,액션",최원섭,(주)바이포엠스튜디오,,1375,1588,990971,425190,2046320,2547598,2.57,42.9,,,,,확정,100621,75696,69250,157064,198876,189778,199686,272151,251495,136443,177129,137171,42293,38667,33533
16,보스,2025-10-03,15세이상관람가,"코미디,액션",라희찬,"(주)하이브미디어코프,(주)마인드마크",,1163,1296,1724128,666654,2134433,2437494,1.41,38.7,,,,,확정,238887,208854,218913,313448,322754,247005,174267,91069,122839,93257,28880,26458,25127,22675,29483
17,호프,2026-07-15,15세이상관람가,"SF,스릴러,액션",나홍진,메가박스중앙(주) 플러스엠 엔터테인먼트,,2403,2424,2383707,1503969,2383707,2401065,1.01,63.1,,,,,,333893,274442,594781,512181,397007,143062,128341,0,0,0,0,0,0,0,0
18,승부,2025-03-26,12세이상관람가,드라마,김형주,(주)바이포엠스튜디오,,1638,1773,822790,544251,1426468,2146672,2.61,66.1,,,,,확정,91471,60940,92327,234094,217830,68400,57728,50781,46936,68484,208378,150716,41630,36753,36183
19,휴민트,2026-02-11,15세이상관람가,"액션,드라마",류승완,(주)넥스트엔터테인먼트월드(NEW),,1520,1520,1084970,490989,1622860,1982506,1.83,45.3,,,,,확정,116740,81183,91891,194546,204552,182655,213403,184951,54834,51305,100054,88007,32115,26624,37892
20,하이파이브,2025-05-30,15세이상관람가,"코미디,액션",강형철,(주)넥스트엔터테인먼트월드(NEW),,1091,1343,734614,380322,1259840,1893717,2.58,51.8,,,,,확정,70034,151784,158504,75609,173104,44520,61059,156346,134428,110181,31807,28451,31835,32178,44173
21,핸섬가이즈,2024-06-26,15세이상관람가,코미디,남동협,(주)넥스트엔터테인먼트월드(NEW),,935,1065,549169,329125,1018985,1777258,3.24,59.9,,,,,확정,66952,42686,57145,126946,145034,55451,54955,45668,40882,61633,135248,117137,34920,34328,36931
22,하이재킹,2024-06-21,12세이상관람가,"범죄,액션",김성한,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리스튜디오",,1155,1155,744735,482357,1231852,1774402,2.38,64.8,,,,,확정,99928,198044,184385,68771,66040,78771,48796,64808,134504,132656,46635,43330,34847,30337,44027
23,시민덕희,2024-01-24,15세이상관람가,드라마,박영주,(주)쇼박스,,1136,1281,567659,363364,957636,1717667,3.03,64.0,,,,,확정,61242,50242,66955,153661,142748,46761,46050,64682,38132,40652,97162,92539,31503,25307,15046
24,노이즈,2025-06-25,15세이상관람가,"공포(호러),스릴러",김수진,(주)바이포엠스튜디오,,688,1001,265132,147849,774502,1707629,6.44,55.8,,,,,확정,28162,24409,31074,58539,58236,30389,34323,37693,42243,78305,122932,125023,50668,52506,50455
25,검은 수녀들,2025-01-24,15세이상관람가,"미스터리,드라마",권혁재,(주)넥스트엔터테인먼트월드(NEW),,1662,1662,1168831,588488,1499121,1670560,1.43,50.3,,,,,확정,163727,217527,207234,162437,130861,143097,143948,81309,96041,66545,27623,24747,18675,15350,17415
