영화명,개봉일,누적관객수,누적매출액,스크린수,상영횟수,관측월
"님아, 그 강을 건너지 마오",2014-11-27,4804099,37370473379,1,4,2026-05
워낭소리,2009-01-15,2935003,19078062900,1,2,2024-04
그대를 사랑합니다,2011-02-17,1649429,12051537000,1,1,2026-01
밀양,2007-05-23,1605589,10283775300,1,1,2026-05
건국전쟁,2024-02-01,1174140,10908146514,1,1,2025-11
항거:유관순 이야기,2019-02-27,1158368,9295302001,1,1,2025-11
만추,2011-02-17,865944,6499402650,1,1,2025-04
기담,2007-08-01,646241,4142795500,1,1,2024-07
퇴마록,2025-02-21,502849,4767599100,1,3,2026-03
엠,2007-10-25,429067,2779656500,2,2,2026-07
소풍,2024-02-07,370626,3251861943,1,3,2026-07
그대가 조국,2022-05-25,333841,3112112870,1,2,2025-08
올드보이,2003-11-21,318229,2088125000,1,1,2026-07
개를 훔치는 완벽한 방법,2014-12-31,307450,2334813565,1,1,2026-05
소셜포비아,2015-03-12,251819,1981172063,4,22,2024-11
란 12.3,2026-04-22,251568,2504158160,2,19,2026-07
베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,229234,2097880630,1,3,2026-07
연의 편지,2025-10-01,227291,2123637890,2,2,2026-05
하류인생,2004-05-21,224856,1471268000,1,2,2025-01
내 이름은,2026-04-15,221335,1978046300,4,28,2026-07
시,2010-05-13,219376,1551028650,1,2,2025-11
세계의 주인,2025-10-22,207090,1988954750,2,14,2026-07
가족의 탄생,2006-05-18,201202,1225431500,1,2,2026-03
해변의 여인,2006-08-31,159711,1010238200,1,2,2026-03
벌새,2019-08-29,151413,1234558974,1,4,2026-04
지슬 - 끝나지 않은 세월2,2013-03-21,145475,998348200,1,3,2026-04
화장,2015-04-09,142730,1074775192,1,2,2026-03
길위에 김대중,2024-01-10,128787,1224584609,1,1,2025-10
윤희에게,2019-11-14,125631,1003070139,1,6,2026-02
태일이,2021-12-01,125210,1047160590,1,1,2026-04
다음 소희,2023-02-08,119174,1132591168,1,7,2026-04
여교사,2017-01-04,118716,962422460,20,50,2025-06
괜찮아 괜찮아 괜찮아!,2025-02-26,118610,1046382140,1,1,2026-06
여자는 남자의 미래다,2004-05-05,116662,778809500,1,2,2025-01
도희야,2014-05-22,106786,832776100,1,4,2026-04
아기공룡 둘리-얼음별 대모험,1996-07-24,103717,985636637,1,1,2024-10
더 테이블,2017-08-24,103328,832546100,1,1,2025-05
홈캠,2025-09-10,100007,937376100,24,155,2025-10
김복동,2019-08-08,89246,713953060,1,1,2024-01
침범,2025-03-12,87371,785368200,2,47,2025-05
퍼스트레이디,2024-12-12,85070,819628480,1,1,2025-04
세자매,2021-01-27,84091,707633930,1,1,2024-12
건국전쟁2,2025-09-10,82464,824135410,1,1,2026-06
지금은맞고그때는틀리다,2015-09-24,82007,677174092,1,6,2026-06
최악의 하루,2016-08-25,81919,648824890,1,3,2025-06
두 개의 문,2012-06-21,73807,505814000,1,2,2024-08
강령: 귀신놀이,2025-08-06,72305,706209800,11,41,2025-09
무명 無名,2025-06-25,70632,668045500,1,1,2026-06
수라,2023-06-21,65557,554721124,1,1,2026-07
압수수색: 내란의 시작,2025-04-23,64680,618472100,1,2,2025-12
경주,2014-06-12,63558,473755500,1,1,2024-08
한국이 싫어서,2024-08-28,62044,533524941,1,1,2026-03
1919 유관순,2019-03-14,61973,506577410,1,1,2025-08
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,61698,529439100,1,2,2025-02
소공녀,2018-03-22,61218,487910200,1,1,2026-05
독립군: 끝나지 않은 전쟁,2025-08-13,60254,554511420,2,14,2025-12
부흥,2026-01-01,58038,583213630,1,1,2026-06
밤의 해변에서 혼자,2017-03-23,57240,440818592,1,2,2026-04
하하하,2010-05-05,57211,435363200,1,2,2026-02
우리집,2019-08-22,56852,450343340,15,69,2025-10
우리들,2016-06-16,53301,395547514,1,1,2026-06
폴란드로 간 아이들,2018-10-31,52118,398681800,1,1,2025-12
귀여워,2004-11-26,51284,327309000,1,2,2025-01
핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,51094,470983418,1,1,2025-05
6시간 후 너는 죽는다,2024-10-16,50572,513863100,1,2,2026-05
매드 댄스 오피스,2026-03-04,50452,432306860,7,72,2026-06
족구왕,2014-08-21,47840,372900500,9,39,2024-11
신사: 악귀의 속삭임,2026-06-17,47141,487884650,27,159,2026-07
북촌방향,2011-09-08,46457,371514200,1,2,2026-04
사람과 고기,2025-10-07,44898,373724680,5,57,2026-07
성실한 나라의 앨리스,2015-08-13,44412,353105000,1,6,2026-04
메기,2019-09-26,44197,380082268,1,2,2026-04
칠곡 가시나들,2019-02-27,43077,345071400,1,1,2025-09
후회하지 않아,2006-11-16,42129,265705500,1,1,2025-04
너와 나,2023-10-25,41476,401063693,1,1,2026-04
4등,2016-04-13,40788,303359200,1,1,2025-10
어른 김장하,2023-11-15,40721,346842472,1,3,2026-04
말하는 건축가,2012-03-08,39894,312002700,1,8,2024-03
자유의 언덕,2014-09-04,39815,322893827,1,8,2026-07
극장전,2005-05-26,39699,264473500,1,1,2026-01
한여름의 판타지아,2015-06-11,38600,301722258,1,1,2026-05
다시 태어나도 우리,2017-09-27,38442,296992443,1,1,2025-06
야구소녀,2020-06-18,38101,324996920,1,1,2025-07
학교 가는 길,2021-05-05,37642,290529980,1,1,2026-04
옥희의 영화,2010-09-16,37472,288971900,1,2,2026-04
8월의 크리스마스,1998-01-24,36746,261839447,1,3,2025-10
만신,2014-03-06,36627,274362300,1,3,2026-04
오후 네시,2024-10-23,36514,308524200,1,1,2024-12
누구의 딸도 아닌 해원,2013-02-28,35818,276026900,1,1,2025-04
극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,35597,297200316,1,4,2026-01
어른들은 몰라요,2021-04-15,35467,342134750,1,1,2024-02
"아치의 노래, 정태춘",2022-05-18,35341,335160210,1,1,2025-04
우리 학교,2007-03-29,34852,213869000,1,2,2025-03
