순위,영화명,개봉일,등급,장르,감독,배급사,다양성,개봉스크린수,최대스크린수,첫주관객,첫주말관객,2주누적,최종누적관객,배수,주말집중도,개봉일좌석수,개봉일좌석판매율,첫주말좌석수,첫주말좌석판매율,성적확정,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14
1,건국전쟁,2024-02-01,12세이상관람가,다큐멘터리,김덕영,다큐스토리,Y,167,956,74601,28489,432539,1174140,15.74,38.2,,,,,확정,5411,5434,10689,12366,11687,16093,12921,17157,36067,50441,61453,88464,52207,52149,51116
2,퇴마록,2025-02-21,12세이상관람가,"애니메이션,액션,미스터리",김동철,(주)쇼박스,Y,773,935,180597,108090,318417,502849,2.78,59.9,,,,,확정,26501,43069,38520,15545,14376,24124,18462,15060,33721,36529,28112,7991,8905,7502,13012
3,소풍,2024-02-07,12세이상관람가,드라마,김용균,롯데컬처웍스(주)롯데엔터테인먼트,Y,670,729,185251,98059,264862,370626,2.0,52.9,,,,,확정,21508,14589,22306,36217,39536,38180,12915,10022,9917,9974,16329,15091,8598,9680,8960
4,란 12.3,2026-04-22,12세이상관람가,다큐멘터리,이명세,(주)넥스트엔터테인먼트월드(NEW),Y,842,842,147897,78339,213763,251568,1.7,53.0,,,,,확정,37037,17231,17228,32762,28349,7279,8011,6002,7005,13643,11115,12395,6817,8889,2227
5,베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,2025-07-24,전체관람가,애니메이션,변희선,(주)넥스트엔터테인먼트월드(NEW),Y,423,577,100583,54546,163521,229234,2.28,54.2,,,,,확정,7890,6935,22880,24731,13355,12614,12178,10157,9674,13909,14768,5617,5250,3563,2970
6,연의 편지,2025-10-01,12세이상관람가,애니메이션,김용환,롯데컬처웍스(주)롯데엔터테인먼트,Y,595,597,112307,51752,177180,227291,2.02,46.1,,,,,확정,16340,14376,21227,17519,13006,11667,18172,14244,14062,9324,11363,10680,2481,2719,2745
7,내 이름은,2026-04-15,15세이상관람가,드라마,정지영,"씨제이 씨지브이(CJ CGV)(주),와이드 릴리즈(주)",Y,667,694,110331,60951,162437,221254,2.01,55.2,,,,,확정,17069,13799,16192,23796,20963,8714,9798,8333,7089,6550,10368,10615,4074,5077,5752
8,세계의 주인,2025-10-22,12세이상관람가,드라마,윤가은,(주)바른손이앤에이,Y,358,358,37963,21876,70893,207082,5.45,57.6,,,,,확정,4241,2912,5459,8143,8274,3990,4944,5129,3114,4020,7102,6604,3454,3507,2485
9,괜찮아 괜찮아 괜찮아!,2025-02-26,12세이상관람가,"가족,코미디,드라마",김혜영,(주)바이포엠스튜디오,Y,581,588,68076,29778,101666,118610,1.74,43.7,,,,,확정,13737,9442,7269,11027,11482,10794,4325,2778,3737,4220,10993,7394,2354,2114,834
10,길위에 김대중,2024-01-10,12세이상관람가,다큐멘터리,민환기,"(주)아이오케이이엔엠,(주)명필름,(주)시네마6411",Y,404,414,48878,25831,82148,115406,2.36,52.8,,,,,확정,10915,5453,5432,10173,10226,3141,3538,3641,3431,3399,7949,8649,3185,3016,1400
11,홈캠,2025-09-10,15세이상관람가,공포(호러),오세호,주식회사 로아앤코홀딩스,Y,260,280,70240,40047,90355,100007,1.42,57.0,,,,,확정,13306,7320,8972,17274,13801,4174,5393,2328,1859,2858,5254,5030,1205,1581,666
12,침범,2025-03-12,15세이상관람가,"미스터리,스릴러","김여정,이정찬",주식회사 로아앤코홀딩스,Y,527,540,61702,33486,77672,87371,1.42,54.3,,,,,확정,10513,7213,7738,13821,11927,4230,6260,2135,2732,1989,3393,3032,1191,1498,430
