year,total_vod,films,cutoff_rank5000,idx_2020,idx_2018
2012,47732215,5000,2,97.3,71.1
2013,46634529,5000,256,95.1,69.5
2014,45705562,5000,376,93.2,68.1
2015,52326768,5000,481,106.7,78.0
2016,52969416,5000,437,108.0,79.0
2017,59901020,5000,795,122.2,89.3
2018,67087365,5000,905,136.8,100.0
2019,61510563,5000,900,125.4,91.7
2020,49038261,5000,880,100.0,73.1
2021,28861241,5000,625,58.9,43.0
2022,25399694,5000,420,51.8,37.9
2023,18877880,5000,286,38.5,28.1
2024,17605790,5000,228,35.9,26.2
2025,12218526,5000,198,24.9,18.2
2026,6003174,4999,94,12.2,8.9
