영화명,개봉일,누적관객,최대스크린,평균스크린,스크린당좌석,상영일수,장르,배급사,국적,판정근거
룩백,2024-09-05,328976,247,54.0,245,258,애니메이션,메가박스중앙(주),일본,배급사
러브레터,1999-11-20,117392,197,45.7,187,129,"멜로/로맨스,드라마","워터홀컴퍼니(주),주식회사 왓챠,와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트",일본,뉴스시드
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,93574,176,47.1,0,86,공연,"(주)위즈온센,메가박스중앙(주)",한국,배급사
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025-05-29,88401,167,46.0,161,84,애니메이션,(주)애니플러스,일본,뉴스시드
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,66825,136,33.7,179,102,애니메이션,(주)애니플러스,일본,뉴스시드
라스트 마일,2025-03-26,53013,166,49.9,202,66,"스릴러,드라마",(주)플레이그램,일본,뉴스시드
첫 번째 키스,2025-02-26,52646,184,49.4,206,63,"드라마,멜로/로맨스",메가박스중앙(주),일본,배급사
엘리자벳: 더 뮤지컬 라이브,2024-10-16,49275,129,35.6,0,85,"공연,뮤지컬","(주)위즈온센,메가박스중앙(주)",한국,배급사
짝사랑 세계,2026-06-24,27885,150,71.3,155,30,"드라마,멜로/로맨스",메가박스중앙(주),일본,배급사
후지모토 타츠키 17-26 파트 2,2025-10-24,27080,102,36.5,142,49,애니메이션,메가박스중앙(주),일본,배급사
후지모토 타츠키 17-26 파트 1,2025-10-24,26923,114,36.0,141,50,애니메이션,메가박스중앙(주),일본,배급사
류이치 사카모토: 오퍼스,2023-12-27,26010,207,14.2,145,170,"공연,다큐멘터리","(주)엣나인필름,메가박스중앙(주)",일본,배급사
르누아르,2026-04-22,25684,132,27.5,147,69,드라마,메가박스중앙(주),일본,배급사
누벨바그,2025-12-31,23477,141,22.7,142,88,드라마,메가박스중앙(주),프랑스,배급사
베이비걸,2025-10-29,22859,157,42.0,207,53,"스릴러,멜로/로맨스,드라마","메가박스중앙(주),주식회사 올랄라스토리",미국,배급사
워킹맨,2025-10-01,21014,173,46.5,181,39,"액션,스릴러,범죄","메가박스중앙(주),(주)스튜디오디에이치엘",미국,배급사
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,19151,25,2.8,207,231,애니메이션,메가박스중앙(주),일본,배급사
뮤지컬 장수탕 선녀님,2026-03-26,18557,153,23.2,0,71,"뮤지컬,공연","메가박스중앙(주),(주)영화사 그램",한국,배급사
마당을 나온 암탉,2011-07-28,18215,148,37.4,0,55,애니메이션,"메가박스중앙(주),롯데쇼핑㈜롯데엔터테인먼트",한국,배급사
박정희: 경제대국을 꿈꾼 남자,2024-07-10,16099,230,42.2,0,43,"공연,뮤지컬,드라마",메가박스중앙(주),한국,배급사
히어,2025-02-19,15676,144,34.6,211,45,드라마,"메가박스중앙(주),(주)이놀미디어",미국,배급사
영웅: 라이브 인 시네마,2024-08-21,15206,109,23.9,0,72,"공연,뮤지컬","(주)위즈온센,메가박스중앙(주)",한국,배급사
라이즈 오디세이 프리미어 인 시네마,,12818,21,16.2,0,4,다큐멘터리,메가박스중앙(주),한국,배급사
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,2023-10-19,11576,34,2.7,212,209,애니메이션,메가박스중앙(주),일본,배급사
언젠틀 오퍼레이션,2025-03-19,11043,134,35.3,182,41,"액션,코미디",메가박스중앙(주),영국,배급사
여름날 우리,2021-08-25,10286,74,11.6,181,56,"코미디,멜로/로맨스","(주)바이포엠스튜디오,찬란,메가박스중앙(주)",중국,배급사
좀비 랜드 사가: 유메긴가 파라다이스,2026-03-04,9911,104,24.5,118,53,애니메이션,메가박스중앙(주),일본,배급사
장난을 잘 치는 타카기 양,2025-03-05,6595,127,39.3,164,28,"멜로/로맨스,코미디",TCO(주)더콘텐츠온,일본,뉴스시드
그대들은 어떻게 살 것인가,2023-10-25,6567,28,8.0,144,74,애니메이션,메가박스중앙(주),일본,배급사
아이돌리쉬 세븐 퍼스트 비트! 극장총집편 전편,2025-10-31,6447,86,17.2,145,47,애니메이션,메가박스중앙(주),일본,배급사
2017 방탄소년단 라이브 트릴로지 에피소드 3 윙스 투어 더 파이널 리마스터링,2025-09-23,5278,94,26.7,0,24,공연,메가박스중앙(주),한국,배급사
2019 방탄소년단 월드 투어 '러브 유어셀프 : 스피크 유어셀프' 런던 리마스터링,2025-09-23,5230,81,24.7,0,24,공연,메가박스중앙(주),한국,배급사
레트리뷰션,2024-01-24,5115,202,87.7,149,15,"액션,스릴러",메가박스중앙(주),미국,배급사
2016 방탄소년단 라이브 화양연화 온 스테이지 : 에필로그 리마스터링,2025-09-23,4901,95,29.0,0,22,공연,메가박스중앙(주),한국,배급사
바운디 라이브 인 런던,2025-05-28,4796,39,16.0,168,28,공연,메가박스중앙(주),일본,배급사
2021 방탄소년단 머스터 소우주 리마스터링,2025-09-23,3404,75,24.1,0,22,공연,메가박스중앙(주),한국,배급사
아이돌리쉬 세븐 퍼스트 비트! 극장총집편 후편,2025-12-12,3197,38,9.3,139,51,애니메이션,"메가박스중앙(주),㈜T-JOY",일본,배급사
언더닌자,2026-02-05,3191,65,19.3,123,19,"드라마,코미디,액션","메가박스중앙(주),㈜T-JOY",일본,배급사
잠자는 바보,2025-09-10,3043,110,30.5,145,26,드라마,메가박스중앙(주),일본,배급사
