영화명,개봉일,원개봉일,구분,세그먼트,상영상태,누적관객,개봉일좌석수,개봉일스크린수,개봉일관객수,메가최대일간스크린,평균스크린,스크린당좌석,상영주수,단독런시작,단독런종료,장르,대표국적,배급사
극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,2025-03-13,신작,애니메이션,종영,949711,116840,335,37674,334,81.2,306,35,2025-03-03,2025-11-02,애니메이션,일본,(주)애니플러스
룩백,2024-09-05,2024-09-05,신작,애니메이션,종영,301976,116966,184,16206,220,100.1,253,19,2024-08-26,2025-01-05,애니메이션,일본,메가박스중앙(주)
러브레터,2025-01-01,1999-11-20,재개봉/구작,실사 외화,종영,116561,35619,181,14957,169,70.4,188,13,2024-12-23,2025-03-23,"멜로/로맨스,드라마",일본,"워터홀컴퍼니(주),주식회사 왓챠,와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트"
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,2025-09-18,신작,공연·실황,종영,93574,20923,19,4789,141,47.1,219,14,2025-09-08,2025-12-14,공연,한국,"(주)위즈온센,메가박스중앙(주)"
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025-05-29,2025-05-29,신작,애니메이션,종영,82581,43901,158,7510,157,48.0,160,15,2025-05-26,2025-09-07,애니메이션,일본,(주)애니플러스
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-11,신작,애니메이션,종영,64612,37649,127,6421,126,51.0,177,11,2024-07-01,2024-09-15,애니메이션,일본,(주)애니플러스
머티리얼리스트,2025-08-08,2025-08-08,신작,실사 외화,종영,63767,62670,166,7585,157,63.6,213,9,2025-07-28,2025-09-28,"멜로/로맨스,코미디",미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
라스트 마일,2025-03-26,2025-03-26,신작,실사 외화,종영,53013,42700,148,4031,147,49.9,202,11,2025-03-17,2025-06-01,"스릴러,드라마",일본,(주)엠디에스스피어
첫 번째 키스,2025-02-26,2025-02-26,신작,실사 외화,종영,49143,61274,184,6199,178,64.2,208,8,2025-02-24,2025-04-20,"드라마,멜로/로맨스",일본,메가박스중앙(주)
엘리자벳: 더 뮤지컬 라이브,2024-10-16,2024-10-16,신작,공연·실황,종영,47522,19245,18,2659,118,57.3,219,8,2024-10-14,2024-12-08,"공연,뮤지컬",한국,"(주)위즈온센,메가박스중앙(주)"
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,2023-10-19,신작,애니메이션,종영,46677,10330,78,1155,78,8.2,158,47,2023-10-09,2024-09-01,애니메이션,일본,메가박스중앙(주)
