수집시각,날짜,관객수,누적관객수,무료관객수,스크린수,상영횟수,매출액,누적매출액
2026-07-01 17:53:34,2026-07-01,7516,7934,255,370,705,68660290,73358640
2026-07-01 20:30:02,2026-07-01,8005,8423,264,376,723,73708690,78407040
2026-07-01 21:30:02,2026-07-01,8101,8519,265,377,729,74719840,79418190
2026-07-01 22:30:02,2026-07-01,8150,8568,266,377,732,75236140,79934490
2026-07-01 23:30:02,2026-07-01,8163,8581,267,378,733,75361040,80059390
2026-07-02 00:30:02,2026-07-02,3390,11973,90,328,549,28567550,108644940
2026-07-02 01:30:02,2026-07-02,3401,11984,94,328,549,28695000,108772390
2026-07-02 02:00:02,2026-07-02,3408,11991,94,328,549,28785700,108863090
2026-07-02 03:30:02,2026-07-02,3412,11995,95,328,548,28830800,108908190
2026-07-02 04:30:02,2026-07-02,3410,11993,94,328,548,28817800,108895190
2026-07-02 05:00:02,2026-07-02,3410,11993,95,328,549,28814800,108892190
2026-07-02 06:30:02,2026-07-02,3412,11995,98,328,548,28808950,108886340
2026-07-02 07:30:02,2026-07-02,3418,12001,101,327,547,28875250,108952640
2026-07-02 08:40:17,2026-07-02,3461,12044,108,329,550,29290250,109367640
