movie_id,title_ko,title_en,gubun,genre,nation,theater_admissions,online_cumulative,seat_cnt,lifetime_vod,first_year_vod,online_open,theater_open
FS20183782,기생충,PARASITE,일반영화,드라마,한국,10317318,2772468,33873753,2772468,2660596,2019-07-29,2019-05-30
FS20136803,겨울왕국,Frozen,일반영화,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국,10329222,2725595,27899158,2725595,1310204,2014-02-27,2014-01-16
FS20172742,범죄도시,THE OUTLAWS,일반영화,"범죄,액션",한국,6880546,2612055,24033267,2612055,1975347,2017-11-14,2017-10-03
FS20182530,극한직업,Extreme Job,일반영화,코미디,한국,16266641,2070446,50761360,2070446,1924046,2019-03-04,2019-01-23
FS20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,일반영화,"판타지,드라마",한국,14414658,1889523,37112619,1889523,1811219,2018-02-12,2017-12-20
FS20204548,범죄도시2,The Roundup,일반영화,"범죄,액션",한국,12693448,1802372,51695159,1802372,1670417,2022-07-18,2022-05-18
FS20174061,보스 베이비,The Boss Baby,일반영화,"애니메이션,코미디,가족",미국,2452245,1669509,7325224,1669509,991464,2017-06-02,2017-05-03
FS20226411,범죄도시3,THE ROUNDUP : NO WAY OUT,일반영화,"범죄,액션",한국,10682897,1619621,46286707,1619621,1556801,2023-06-26,2023-05-31
FS20148048,베테랑,Veteran,일반영화,"액션,드라마",한국,13414649,1574020,37275407,1574020,1360722,2015-10-07,2015-08-05
FS20140194,곡성,THE WAILING,일반영화,"미스터리,스릴러,드라마",한국,6879989,1514726,22813514,1514726,1180194,2016-06-22,2016-05-12
FS20124401,신세계,New World,일반영화,"범죄,액션",한국,4690270,1488703,17084716,1488703,93013,2014-02-10,2013-02-21
FS20185341,마녀,The Witch : Part 1. The Subversion,일반영화,"미스터리,액션",한국,3189091,1385138,13776329,1385138,1028860,2018-07-23,2018-06-27
FS20177478,어벤져스: 인피니티 워,Avengers: Infinity War,일반영화,"액션,어드벤처,판타지,SF",미국,11233176,1379329,41645363,1379329,1096036,2018-08-22,2018-04-25
FS20126091,관상,The Face Reader,일반영화,"사극,드라마",한국,9136156,1342521,24223562,1342521,1204510,2013-11-12,2013-09-11
FS20113533,후궁 : 제왕의 첩,The Concubine,일반영화,"사극,멜로/로맨스",한국,2636385,1320153,13333257,1320153,258330,2012-10-14,2012-06-06
FS20124034,도둑들,The Thieves,일반영화,"액션,범죄",한국,12984701,1268465,30229269,1268465,1150562,2012-10-14,2012-07-25
FS20153444,럭키,LUCK-KEY,일반영화,코미디,한국,6975677,1261154,25957537,1261154,1154124,2016-10-18,2016-10-13
FS20165443,모아나,Moana,일반영화,애니메이션,미국,2314299,1239063,8294043,1239063,748237,2017-02-08,2017-01-12
FS20129370,명량,The Admiral: Roaring Currents,일반영화,"사극,액션",한국,17616791,1220574,34870544,1220574,981907,2014-12-16,2014-07-30
FS20234675,파묘,Exhuma,일반영화,,한국,11914901,1215137,53451707,1215137,1204561,2024-02-22,
FS20124079,"광해, 왕이 된 남자",Masquerade,일반영화,"사극,드라마",한국,12324198,1196542,40110021,1196542,975323,2013-01-10,2012-09-13
FS20148851,암살,Assassination,일반영화,"액션,드라마",한국,12707491,1191590,30097631,1191590,1058255,2015-09-23,2015-07-22
FS20127593,7번방의 선물,Miracle in Cell No.7,일반영화,"코미디,드라마",한국,12812473,1189774,32003349,1189774,993158,2013-04-10,2013-01-23
FS20155501,주토피아,Zootopia,일반영화,"애니메이션,액션,어드벤처",미국,4711015,1154053,20896305,1154053,714495,2016-05-18,2016-02-17
FS20145507,검사외전,A Violent Prosecutor,일반영화,"범죄,코미디",한국,9707581,1152520,28160055,1152520,1045500,2016-03-23,2016-02-03
FS20156564,부산행,TRAIN TO BUSAN,일반영화,"액션,스릴러",한국,11567929,1144445,25832818,1144445,908327,2016-08-17,2016-07-20
FS20124721,어벤져스,The Avengers,일반영화,"액션,SF",미국,7087971,1120371,23467990,1120371,158643,2013-07-03,2012-04-26
FS20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,일반영화,"판타지,드라마",한국,12278010,1118204,30472100,1118204,1047910,2018-09-17,2018-08-01
FS20228797,범죄도시4,THE ROUNDUP : PUNISHMENT,일반영화,"액션,범죄",한국,11503781,1113021,53351733,1113021,1080109,2024-04-24,
FS20151228,공조,Confidential Assignment,일반영화,액션,한국,7817686,1112399,25862243,1112399,925299,2017-01-03,2017-01-18
FS20184889,어벤져스: 엔드게임,Avengers: Endgame,일반영화,"액션,SF",미국,13977602,1101622,41091575,1101622,504736,2019-01-08,2019-04-24
FS20197803,겨울왕국 2,Frozen 2,일반영화,애니메이션,미국,13768797,1101122,49969108,1101122,894525,2020-02-03,2019-11-21
FS20184621,엑시트,EXIT,일반영화,"코미디,액션",한국,9429024,1089713,33008104,1089713,1014378,2019-09-04,2019-07-31
FS20098169,쥬라기 월드,Jurassic World,일반영화,"액션,어드벤처,SF",미국,5547463,1089183,21654547,1089183,794021,2015-06-09,2015-06-11
FS20188941,악인전,"The Gangster, The Cop, The Devil",일반영화,"범죄,액션",한국,3364924,1061020,16397857,1061020,977070,2019-06-17,2019-05-15
FS20177538,완벽한 타인,Intimate Strangers,일반영화,"드라마,코미디",한국,5294154,1043642,23283533,1043642,72536,2019-09-30,2018-10-31
FS20113557,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,일반영화,"범죄,드라마",한국,4720172,1035465,18604929,1035465,169908,2012-10-14,2012-02-02
FS20131102,수상한 그녀,Miss Granny,일반영화,드라마,한국,8665824,1032925,25787985,1032925,918497,2014-04-29,2014-01-22
FS20145361,미니언즈,Minions,일반영화,애니메이션,미국,2627228,1028813,5861109,1028813,471116,2015-08-24,2015-07-29
FS20137048,국제시장,Ode to My Father,일반영화,드라마,한국,14269712,1024422,39411092,1024422,840863,2015-04-20,2014-12-17
FS20162442,청년경찰,Midnight Runners,일반영화,액션,한국,5653444,1024125,18950943,1024125,902610,2017-09-19,2017-08-09
FS20150025,내부자들: 디 오리지널,Inside Men: The Original,일반영화,"범죄,드라마",한국,2084939,1018199,7721097,1018199,848677,2016-01-19,2015-12-31
FS20140110,킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,일반영화,"액션,스릴러",미국,6129681,1016818,24533548,1016818,621315,2015-04-20,2015-02-11
FS20162869,택시운전사,A Taxi Driver,일반영화,드라마,한국,12189988,1013769,32675730,1013769,925157,2017-09-20,2017-08-02
FS20137044,친구 2,Friend : The Great Legacy,일반영화,액션,한국,2971475,983637,13244631,983637,873035,2013-12-18,2013-11-14
FS20179383,독전,Believer,일반영화,"범죄,액션",한국,5064323,977832,23076261,977779,891135,2018-06-15,2018-05-22
FS20192206,백두산,ASHFALL,일반영화,"어드벤처,드라마",한국,8253570,977734,30513684,977734,928275,2020-01-15,2019-12-19
FS20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,일반영화,"가족,판타지",미국,332525,977452,796291,977452,16483,2013-12-02,2001-12-13
FS20142402,간신,The Treacherous,일반영화,사극,한국,1110274,928901,6054664,928901,753119,2015-06-16,2015-05-21
FS20179985,코코,COCO,일반영화,애니메이션,미국,3534625,927691,13528171,927691,619379,2018-02-12,2018-01-11
FS20197922,다만 악에서 구하소서,DELIVER US FROM EVIL,일반영화,"범죄,액션",한국,4357873,920078,32272677,920078,867430,2020-09-02,2020-08-05
FS20183867,알라딘,Aladdin,일반영화,"어드벤처,가족,판타지",미국,12800870,918524,43125360,918524,508748,2018-12-19,2019-05-23
FS20170402,강철비,Steel Rain,일반영화,"액션,드라마",한국,4452900,915518,12653723,915366,831608,2018-01-11,2017-12-14
FS20144444,아가씨,The Handmaiden,일반영화,"스릴러,드라마",한국,4290099,913461,15587927,913461,682103,2016-07-25,2016-06-01
FS20184481,성난황소,Unstoppable,일반영화,"범죄,액션",한국,1593386,901708,7336375,901708,867436,2018-12-11,2018-11-22
FS20156807,뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,일반영화,애니메이션,한국,446054,895299,1722628,895299,439337,2015-12-23,2015-12-10
FS20100215,점박이:한반도의 공룡3D,Speckles: The Tarbosaurus,일반영화,"애니메이션,어드벤처,액션",한국,1051710,892649,4048287,892649,305594,2012-11-06,2012-01-26
FS20179086,쥬라기 월드: 폴른 킹덤,JURASSIC WORLD: FALLEN KINGDOM,일반영화,"액션,어드벤처,SF",미국,5661128,891501,25850573,891501,738418,2018-06-26,2018-06-06
FS20151225,인사이드 아웃,Inside Out,일반영화,"애니메이션,코미디",미국,4972640,878749,13222661,878749,424970,2015-10-13,2015-07-09
FS20170590,1987,1987: When the Day Comes,일반영화,드라마,한국,7233076,877060,22965690,877060,774382,2018-02-05,2017-12-27
FS20134803,변호인,The Attorney,일반영화,드라마,한국,11375399,864178,29632486,864178,533364,2014-03-07,2013-12-18
FS20124074,건축학개론,Architecture 101,일반영화,"멜로/로맨스,드라마",한국,4114968,834259,19273657,834259,180351,2012-10-14,2012-03-22
FS20153443,아수라,Asura : The City of Madness,일반영화,"범죄,액션",한국,2594943,832917,12370538,832917,617321,2016-09-06,2016-09-28
FS20163181,닥터 스트레인지,Doctor Strange,일반영화,"액션,어드벤처,판타지",미국,5447269,829822,31087203,829822,463857,2017-01-24,2016-10-26
FS20153781,데드풀,Deadpool,일반영화,"액션,SF",미국,3322773,824823,15975640,824823,503937,2016-03-23,2016-02-17
FS20151229,더 킹,The King,일반영화,"범죄,드라마",한국,5318202,822723,19633720,822723,709200,2017-02-14,2017-01-18
FS20165748,꾼,The Swindlers,일반영화,범죄,한국,4018341,820919,22349572,820919,102400,2018-05-02,2017-11-22
FS20136064,해적: 바다로 간 산적,The Pirates,일반영화,어드벤처,한국,8666208,820126,22267664,820126,722360,2014-10-01,2014-08-06
FS20162181,프리즌,The Prison,일반영화,"범죄,액션",한국,2931953,817741,15285542,817741,735162,2017-04-24,2017-03-23
FS20199816,담보,Pawn,일반영화,드라마,한국,1719839,805286,18253882,805286,772107,2020-10-20,2020-09-29
FS20134798,연평해전,Northern Limit Line,일반영화,드라마,한국,6046219,802897,20559042,802897,683620,2015-07-29,2015-06-24
FS20242837,왕과 사는 남자,The King's Warden,일반영화,"사극,드라마",한국,16917083,790803,68584260,790803,790803,2026-02-04,
