movie_id,title_ko,title_en,online_open,theater_open,lifetime_vod,first_year_vod,first_year_note,peak_share,n_years
FS20183782,기생충,PARASITE,2019-07-29,2019-05-30,2772468,2660596,,0.361,8
FS20136803,겨울왕국,Frozen,2014-02-27,2014-01-16,2725595,1310204,,0.197,13
FS20172742,범죄도시,THE OUTLAWS,2017-11-14,2017-10-03,2612055,1975347,,0.269,10
FS20182530,극한직업,Extreme Job,2019-03-04,2019-01-23,2070446,1924046,,0.392,8
FS20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2018-02-12,2017-12-20,1889523,1811219,,0.341,9
FS20204548,범죄도시2,The Roundup,2022-07-18,2022-05-18,1802372,1670417,,0.414,5
FS20174061,보스 베이비,The Boss Baby,2017-06-02,2017-05-03,1669509,991464,,0.171,10
FS20226411,범죄도시3,THE ROUNDUP : NO WAY OUT,2023-06-26,2023-05-31,1619621,1556801,,0.58,4
FS20148048,베테랑,Veteran,2015-10-07,2015-08-05,1574020,1360722,,0.232,12
FS20140194,곡성,THE WAILING,2016-06-22,2016-05-12,1514726,1180194,,0.284,11
FS20124401,신세계,New World,2014-02-10,2013-02-21,1488703,93013,,0.239,14
FS20185341,마녀,The Witch : Part 1. The Subversion,2018-07-23,2018-06-27,1385138,1028860,,0.325,9
FS20177478,어벤져스: 인피니티 워,Avengers: Infinity War,2018-08-22,2018-04-25,1379329,1096036,,0.288,9
FS20126091,관상,The Face Reader,2013-11-12,2013-09-11,1342521,1204510,,0.36,14
FS20113533,후궁 : 제왕의 첩,The Concubine,2012-10-14,2012-06-06,1320153,258330,,0.41,15
FS20124034,도둑들,The Thieves,2012-10-14,2012-07-25,1268465,1150562,,0.54,15
FS20153444,럭키,LUCK-KEY,2016-10-18,2016-10-13,1261154,1154124,,0.367,11
FS20165443,모아나,Moana,2017-02-08,2017-01-12,1239063,748237,,0.185,10
FS20129370,명량,The Admiral: Roaring Currents,2014-12-16,2014-07-30,1220574,981907,,0.439,13
FS20234675,파묘,Exhuma,2024-02-22,,1215137,1204561,,0.384,3
FS20124079,"광해, 왕이 된 남자",Masquerade,2013-01-10,2012-09-13,1196542,975323,,0.541,14
FS20148851,암살,Assassination,2015-09-23,2015-07-22,1191590,1058255,,0.439,12
FS20127593,7번방의 선물,Miracle in Cell No.7,2013-04-10,2013-01-23,1189774,993158,,0.268,14
FS20155501,주토피아,Zootopia,2016-05-18,2016-02-17,1154053,714495,,0.178,11
FS20145507,검사외전,A Violent Prosecutor,2016-03-23,2016-02-03,1152520,1045500,,0.281,11
FS20156564,부산행,TRAIN TO BUSAN,2016-08-17,2016-07-20,1144445,908327,,0.264,11
FS20124721,어벤져스,The Avengers,2013-07-03,2012-04-26,1120371,158643,,0.182,15
FS20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,2018-09-17,2018-08-01,1118204,1047910,,0.428,9
FS20228797,범죄도시4,THE ROUNDUP : PUNISHMENT,2024-04-24,,1113021,1080109,,0.586,3
FS20151228,공조,Confidential Assignment,2017-01-03,2017-01-18,1112399,925299,,0.431,10
FS20184889,어벤져스: 엔드게임,Avengers: Endgame,2019-01-08,2019-04-24,1101622,504736,,0.184,8
FS20197803,겨울왕국 2,Frozen 2,2020-02-03,2019-11-21,1101122,894525,,0.301,8
FS20184621,엑시트,EXIT,2019-09-04,2019-07-31,1089713,1014378,,0.396,8
FS20098169,쥬라기 월드,Jurassic World,2015-06-09,2015-06-11,1089183,794021,,0.341,12
FS20188941,악인전,"The Gangster, The Cop, The Devil",2019-06-17,2019-05-15,1061020,977070,,0.336,8
FS20177538,완벽한 타인,Intimate Strangers,2019-09-30,2018-10-31,1043642,72536,,0.309,9
FS20113557,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,2012-10-14,2012-02-02,1035465,169908,,0.389,15
FS20131102,수상한 그녀,Miss Granny,2014-04-29,2014-01-22,1032925,918497,,0.531,13
FS20145361,미니언즈,Minions,2015-08-24,2015-07-29,1028813,471116,,0.125,12
FS20137048,국제시장,Ode to My Father,2015-04-20,2014-12-17,1024422,840863,,0.281,12
FS20162442,청년경찰,Midnight Runners,2017-09-19,2017-08-09,1024125,902610,,0.386,10
FS20150025,내부자들: 디 오리지널,Inside Men: The Original,2016-01-19,2015-12-31,1018199,848677,,0.312,11
FS20140110,킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,2015-04-20,2015-02-11,1016818,621315,,0.194,12
FS20162869,택시운전사,A Taxi Driver,2017-09-20,2017-08-02,1013769,925157,,0.452,10
FS20137044,친구 2,Friend : The Great Legacy,2013-12-18,2013-11-14,983637,873035,,0.491,14
FS20179383,독전,Believer,2018-06-15,2018-05-22,977779,891135,,0.437,6
FS20192206,백두산,ASHFALL,2020-01-15,2019-12-19,977734,928275,,0.426,7
FS20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,2013-12-02,2001-12-13,977452,16483,,0.036,15
FS20142402,간신,The Treacherous,2015-06-16,2015-05-21,928901,753119,,0.28,12
FS20179985,코코,COCO,2018-02-12,2018-01-11,927691,619379,,0.158,9
FS20197922,다만 악에서 구하소서,DELIVER US FROM EVIL,2020-09-02,2020-08-05,920078,867430,,0.492,7
FS20183867,알라딘,Aladdin,2018-12-19,2019-05-23,918524,508748,,0.282,8
FS20170402,강철비,Steel Rain,2018-01-11,2017-12-14,915366,831608,,0.411,8
FS20144444,아가씨,The Handmaiden,2016-07-25,2016-06-01,913461,682103,,0.266,11
FS20184481,성난황소,Unstoppable,2018-12-11,2018-11-22,901708,867436,,0.531,9
FS20156807,뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,2015-12-23,2015-12-10,895299,439337,,0.157,12
FS20100215,점박이:한반도의 공룡3D,Speckles: The Tarbosaurus,2012-11-06,2012-01-26,892649,305594,,0.084,15
FS20179086,쥬라기 월드: 폴른 킹덤,JURASSIC WORLD: FALLEN KINGDOM,2018-06-26,2018-06-06,891501,738418,,0.429,9
FS20151225,인사이드 아웃,Inside Out,2015-10-13,2015-07-09,878749,424970,,0.109,12
FS20170590,1987,1987: When the Day Comes,2018-02-05,2017-12-27,877060,774382,,0.43,9
FS20134803,변호인,The Attorney,2014-03-07,2013-12-18,864178,533364,,0.326,13
FS20124074,건축학개론,Architecture 101,2012-10-14,2012-03-22,834259,180351,,0.239,15
FS20153443,아수라,Asura : The City of Madness,2016-09-06,2016-09-28,832917,617321,,0.284,11
FS20163181,닥터 스트레인지,Doctor Strange,2017-01-24,2016-10-26,829822,463857,,0.16,10
FS20153781,데드풀,Deadpool,2016-03-23,2016-02-17,824823,503937,,0.171,11
FS20151229,더 킹,The King,2017-02-14,2017-01-18,822723,709200,,0.301,10
FS20165748,꾼,The Swindlers,2018-05-02,2017-11-22,820919,102400,,0.411,10
FS20136064,해적: 바다로 간 산적,The Pirates,2014-10-01,2014-08-06,820126,722360,,0.314,13
FS20162181,프리즌,The Prison,2017-04-24,2017-03-23,817741,735162,,0.417,10
FS20199816,담보,Pawn,2020-10-20,2020-09-29,805286,772107,,0.336,7
FS20134798,연평해전,Northern Limit Line,2015-07-29,2015-06-24,802897,683620,,0.458,12
FS20242837,왕과 사는 남자,The King's Warden,2026-02-04,,790803,790803,partial(<12mo data),0.628,1
FS20134804,타짜-신의 손,Tazza-The Hidden Card,2014-10-15,2014-09-03,790466,530726,,0.263,13
FS20179189,암수살인,Dark Figure of Crime,2018-10-30,2018-10-03,787233,745193,,0.455,9
FS20212866,서울의 봄,12.12: THE DAY,2023-11-22,,783453,754220,,0.651,3
FS20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,2019-10-07,2019-09-11,780964,716754,,0.332,8
FS20176122,안시성,The Great Battle,2018-10-23,2018-09-19,768831,723801,,0.398,9
FS20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,2013-11-25,2002-12-13,764751,19613,,0.039,15
FS20215601,공조2: 인터내셔날,Confidential Assignment2: International,2022-10-14,2022-09-07,760643,753284,,0.424,5
FS20148846,사도,The Throne,2015-10-26,2015-09-16,759671,642939,,0.365,12
FS20175222,킹스맨: 골든 서클,Kingsman: The Golden Circle,2017-10-26,2017-09-27,757949,646711,,0.297,10
FS20170561,블랙 팬서,Black Panther,2018-05-23,2018-02-14,754054,639241,,0.436,9
FS20133322,인간중독,Obsessed,2016-06-02,2014-05-14,753158,45773,,0.226,13
FS20167303,스파이더맨: 홈 커밍,Spider-Man: Homecoming,2017-09-12,2017-07-05,750974,561363,,0.221,10
FS20192193,도굴,Collectors,2020-12-16,2020-11-04,750378,738642,,0.311,6
FS20175121,토르: 라그나로크,THOR: RAGNAROK,2018-01-25,2017-10-25,749108,583965,,0.216,9
FS20177221,베놈,Venom,2018-12-04,2018-10-03,748151,617170,,0.474,9
FS20139201,신의 한 수,The Divine Move,2016-07-14,2014-07-03,743482,21837,,0.487,13
