movie_id,director,leads
FS20183782,봉준호,송강호(기택)|이선균(동익)|조여정(연교)
FS20136803,크리스 벅,이디나 멘젤(엘사 목소리 )|크리스틴 벨(안나 목소리 )|조나단 그로프(크리스토프 목소리 )
FS20172742,강윤성,마동석(마석도)|윤계상(장첸)|조재윤
FS20182530,이병헌,류승룡(고반장)|이하늬(장형사)|진선규(마형사)
FS20150976,김용화,하정우(강림)|차태현(자홍)|주지훈(해원맥)
FS20204548,이상용,마동석(마석도)|손석구(강해상)|최귀화(전일만)
FS20174061,톰 맥그라스,알렉 볼드윈|리사 쿠드로|스티브 부세미
FS20226411,이상용,마동석(마석도)|마동석|이준혁(주성철)
FS20148048,류승완,황정민(서도철)|유아인(조태오)|유해진(최 상무)
FS20140194,나홍진,곽도원(종구)|황정민(일광)|쿠니무라 준(외지인)
FS20124401,박훈정,이정재(이자성)|최민식(강과장)|황정민(정청)
FS20185341,박훈정,김다미(자윤)|조민수(닥터 백)|박희순(미스터 최)
FS20177478,안소니 루소,로버트 다우니 주니어|조슈 브롤린|마크 러팔로
FS20126091,한재림,송강호(내경)|이정재(수양대군)|백윤식(김종서)
FS20113533,김대승,조여정(화연)|김동욱(성원대군)|김민준(권유)
FS20124034,최동훈,김윤석(마카오박)|김혜수(팹시)|이정재(뽀빠이)
FS20153444,이계벽,유해진|이준(재성)|조윤희
FS20165443,론 클레멘츠,드웨인 존슨(마우이 목소리 역)|아우이 크라발호(모아나 목소리 역)|알란 터딕
FS20129370,김한민,최민식(이순신 )|류승룡(구루지마 )|조진웅(와키자카 )
FS20234675,장재현,최민식(김상덕)|김고은(이화림)|유해진(고영근)
FS20124079,추창민,이병헌(광해/하선)|류승룡(허균)|한효주(중전)
FS20148851,최동훈,전지현(안옥윤)|이정재(염석진)|하정우(하와이 피스톨)
FS20127593,이환경,류승룡(용구)|박신혜(큰 예승)|갈소원(어린 예승)
FS20155501,바이론 하워드,지니퍼 굿윈|제이슨 베이트먼|샤키라
FS20145507,이일형,황정민(변재욱)|강동원(한치원)
FS20156564,연상호,공유|정유미(성경)|마동석
FS20124721,조스 웨던,로버트 다우니 주니어(토니 스타크/ 아이언 맨)|스칼렛 요한슨(나타샤 로마노프/블랙 위도우)|크리스 헴스워스(토르)
FS20186202,김용화,하정우(강림)|주지훈(해원맥)|김향기(덕춘)
FS20228797,허명행,김무열(백창기)|박지환(장이수)|이동휘(장동철)
FS20197803,크리스 벅,크리스틴 벨|이디나 멘젤|조시 게드
FS20184621,이상근,조정석(용남)|임윤아(의주)|고두심(현옥)
FS20098169,콜린 트레보로우,크리스 프랫|주디 그리어|브라이스 달라스 하워드
FS20188941,이원태,마동석(장동수)|김무열(태석)|김성규(강경호)
FS20177538,이재규,유해진|조진웅(석호)|이서진(준모)
FS20113557,윤종빈,최민식(최익현 )|하정우(최형배 )
FS20131102,황동혁,심은경(오두리)|나문희(오말순)|박인환(박씨)
FS20145361,피에르 꼬팽,산드라 블록|존 햄|마이클 키튼
FS20137048,윤제균,황정민(덕수)|김윤진(영자)|오달수(달구)
FS20162442,김주환,박서준(기준)|강하늘(희열)|성동일
FS20150025,우민호,이병헌(안상구)|조승우(우장훈)|백윤식
FS20140110,매튜 본,콜린 퍼스|태런 에저튼|사무엘 L. 잭슨
FS20162869,장훈,송강호(김만섭)|토마스 크레취만(위르겐 힌츠페터(피터))|류준열(구재식)
FS20137044,곽경택,유오성|주진모|김우빈(최성훈)
FS20179383,이해영,조진웅(원호)|류준열(락)|김주혁(하림)
FS20192206,이해준,이병헌(리준평)|하정우(조인창)|마동석(강봉래)
FS20010291,크리스 콜럼버스,다니엘 래드클리프(해리 포터)|엠마 왓슨(헤르미온느 그레인저)|루퍼트 그린트(론 위즐리)
FS20142402,민규동,주지훈|김강우|천호진
FS20179985,리 언크리치,가엘 가르시아 베르날|앤서니 곤잘레스|벤자민 브랫
FS20197922,홍원찬,황정민(인남)|이정재(레이)|박정민(유이)
FS20183867,가이 리치,메나 마수드|윌 스미스|나오미 스콧
FS20170402,양우석,정우성|곽도원
FS20144444,박찬욱,김민희(아가씨)|김태리(숙희)|하정우(백작)
FS20184481,김민호,마동석|송지효|김성오
FS20156807,박영균,이선(뽀로로)|이미자(크롱)|함수정(에디)
FS20100215,한상호,이형석|신용우|구자형
FS20179086,후안 안토니오 바요나,크리스 프랫|브라이스 달라스 하워드|제프 골드블럼
FS20151225,피트 닥터,다이안 레인|에이미 포엘러|카일 맥라클란
FS20170590,장준환,김윤석|하정우|유해진
FS20134803,양우석,송강호(송우석)|김영애(최순애)|오달수(박동호)
FS20124074,이용주,엄태웅(현재 승민 )|한가인(현재 서연 )|이제훈(과거 승민)
FS20153443,김성수,정우성(한도경)|황정민(박성배)|주지훈(문선모)
FS20163181,스콧 데릭슨,베네딕트 컴버배치|레이첼 맥아담스|틸다 스윈튼
FS20153781,팀 밀러,라이언 레이놀즈|모레나 바카린|에드 스크레인
FS20151229,한재림,조인성(박태수)|정우성(한강식)|배성우(양동철)
FS20165748,장창원,현빈|유지태(박희수 검사)
FS20136064,이석훈,김남길|손예진|신정근
FS20162181,나현,한석규(정익호)|김래원(송유건)
FS20199816,강대규,성동일(두석)|하지원(성인 승이)|김희원(종배)
FS20134798,김학순,김무열(윤영하)|진구(한상국)|이현우(박동혁)
FS20242837,장항준,유해진|박지훈|유지태
FS20134804,강형철,최승현(함대길)|신세경(허미나)|곽도원(장동식)
FS20179189,김태균,김윤석(김형민)|주지훈|문정희
FS20212866,김성수,황정민(전두광)|정우성(이태신)|이성민(참모총장 정상호)
FS20188750,손용호,마동석(박웅철)|김상중(오구탁)|김아중(곽노순)
FS20176122,김광식,조인성(양만춘)|남주혁(사물)|박성웅(당태종 이세민)
FS20020222,크리스 콜럼버스,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트
FS20215601,이석훈,현빈|유해진|임윤아
FS20148846,이준익,송강호|유아인|문근영(혜경궁 홍씨 )
FS20175222,매튜 본,콜린 퍼스|줄리안 무어|태런 에저튼
FS20170561,라이언 쿠글러,채드윅 보스만(티찰라 / 블랙 팬서 역)
FS20133322,김대우,송승헌|설유진(5호네)|임지연
FS20167303,존 왓츠,톰 홀랜드|로버트 다우니 주니어|마이클 키튼
FS20192193,박정배,이제훈|조우진|신혜선
FS20175121,타이카 와이티티,크리스 헴스워스|톰 히들스턴|케이트 블란쳇
FS20177221,루벤 플레셔,톰 하디|미쉘 윌리엄스|리즈 아메드
FS20139201,조범구,정우성|안성기|이범수
FS20176104,최성현,이병헌(김조하)|윤여정|박정민(오진태)
FS20167904,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록
FS20124066,정지우,박해일(이적요)|김무열(서지우)|김고은(한은교)
FS20124935,조진규,박신양(광호)|김정태(태주)|엄지원(명보살)
FS20184462,원신연,유해진(황해철)|류준열(이장하)|조우진(마병구)
FS20124083,류승완,하정우(표종성)|한석규(정진수)|류승범(동명수)
FS20198414,최정열,마동석(거석이형)|박정민(고택일)|정해인(우상필)
FS20224882,박훈정,신시아(소녀)|박은빈(경희)|서은수(조현)
FS20161725,조의석,이병헌(진회장)|강동원(김재명)|김우빈(박장군)
FS20166488,알렉스 커츠먼,톰 크루즈|소피아 부텔라|애나벨 월리스
FS20154910,김성훈,하정우|배두나|오달수
FS20151383,리들리 스콧,맷 데이먼|제시카 차스테인|제프 다니엘스
FS20199883,이철하,엄정화(이미영)|박성웅(오석환)|이상윤(리철승)
FS20113554,민규동,임수정(정인)|이선균(두현)|류승룡(성기)
FS20148493,조스 웨던,로버트 다우니 주니어|크리스 헴스워스|마크 러팔로
FS20180939,우민호,이병헌(김규평)|이성민(박통)|곽도원(박용각)
FS20180290,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼
FS20148855,곽경택,김윤석(공길용)|유해진(김중산)
FS20121621,쉐인 블랙,로버트 다우니 주니어(토니 스타크)|기네스 팰트로우(페퍼 포츠)|벤 킹슬리(만다린)
FS20149314,우민호,이병헌(안상구)|조승우(우장훈)|백윤식(이강희)
FS20181181,크리스토퍼 맥쿼리,톰 크루즈|레베카 퍼거슨|바네사 커비
FS20181434,리건,권상우(귀수)|김희원(똥선생)|김성균(허일도)
FS20123681,박영균,이선(뽀로로)
FS20193321,장유정,라미란(주상숙)|김무열(박희철)|나문희(김옥희)
FS20139183,이재규,현빈(정조)|정재영|조정석
FS20177552,최국희,김혜수(한시현)|유아인|허준호
FS20140431,웨스 볼,딜런 오브라이언|카야 스코델라리오|윌 폴터
FS20176251,강효진,박성웅(판수)|진영(동현)|라미란(미선)
FS20159646,김지운,송강호|공유
FS20135428,리차드 커티스,레이첼 맥아담스(메리)|도널 글리슨(팀)|빌 나이
FS20126469,빌 콘돈,크리스틴 스튜어트|로버트 패틴슨|테일러 로트너
FS20184572,권오광,박정민(도일출)|류승범(애꾸)|최유화(마돈나)
FS20145503,장재현,김윤석|강동원
FS20122089,크리스 리노드,알 파치노|스티브 카렐|미란다 코스그로브
FS20192101,최원섭,권상우(준)|정준호(덕규)|황우슬혜(미나)
FS20194376,조셉 코신스키,톰 크루즈|마일즈 텔러|제니퍼 코넬리
FS20161481,류승완,황정민(이강옥)|소지섭(최칠성)|송중기(박무영)
FS20152022,낸시 마이어스,앤 해서웨이|로버트 드 니로|르네 루소
FS20178161,이언희,권상우(강대만)|성동일(노태수)|김수영(손담비 대역)
FS20122122,마크 포스터,브래드 피트(제리 레인)|미레유 에노스(카린 레인)|매튜 폭스
FS20040598,알폰소 쿠아론,다니엘 래드클리프|엠마 왓슨|루퍼트 그린트
FS20126674,봉준호,크리스 에반스|송강호|에드 해리스
