검수(포함Y/제외N),유형수동태그,movieCd,제목,영문명,제작연도,개봉일,재개봉일,국적,유형,장르,등급,러닝타임,감독,미개봉여부,편입사유,요약정보
,,19560048,포화속의 십자가,A Cross In Gunfire,1956,1956-05-15,,한국,장편,"액션, 전쟁",,,이용민,,키워드:십자가,"장편 | 일반영화 | 액션, 전쟁 | 한국"
,,19590006,벤허,Ben-Hur,1959,1972-09-07,"2008-04-01, 2016-07-07, 2019-03-28",미국,장편,"드라마, 액션",전체관람가,222분 21초,윌리엄 와일러,,필수:벤허,"장편 | 예술영화 | 드라마, 액션 | 222분 21초 | 전체관람가 | 미국"
,,20080697,안녕하세요 하나님,Hello God,1987,1987-12-24,2008-05-20,한국,장편,드라마,연소자관람가,110분 0초,배창호,,키워드:하나님,장편 | 일반영화 | 드라마 | 110분 0초 | 연소자관람가 | 한국
,,19890031,89 인간시장 오 하나님,"Human Market, Oh God!",1989,1989-06-03,,한국,장편,드라마,연소자관람가,94분 0초,진유영,,키워드:하나님,장편 | 일반영화 | 드라마 | 94분 0초 | 연소자관람가 | 한국
,,19888010,시네마 천국,Cinema Paradiso,1988,1990-07-07,"2013-09-26, 2020-04-22, 2025-07-02",프랑스(1),장편,"드라마, 멜로/로맨스",전체관람가,124분 0초,쥬세페 토르나토레,,키워드:천국,"장편 | 예술영화 | 드라마, 멜로/로맨스 | 124분 0초 | 전체관람가 | 프랑스, 이탈리아"
,,19910054,하나님이 어디 있어요,Where Is God?,1991,1991-01-01,,한국,장편,드라마,연소자관람가,82분 0초,최창규,,키워드:하나님,장편 | 일반영화 | 드라마 | 82분 0초 | 연소자관람가 | 한국
,,19910136,몬트리올 예수,Jesus Of Montreal,1989,1991-01-19,,캐나다,장편,드라마,고등학생이상관람가,137분 0초,드니 아르캉,,키워드:예수,장편 | 일반영화 | 드라마 | 137분 0초 | 고등학생이상관람가 | 캐나다
,,19910150,신묵시록,Jesus Of Nazareth,1976,1991-02-13,,미국,장편,드라마,연소자관람가,150분 0초,프랑코 제피렐리,,키워드:예수,장편 | 일반영화 | 드라마 | 150분 0초 | 연소자관람가 | 미국
,,19910027,예수천당,Jesus Heaven,1991,1991-02-23,,한국,장편,드라마,연소자관람가,110분 0초,홍의봉,,키워드:예수,장편 | 일반영화 | 드라마 | 110분 0초 | 연소자관람가 | 한국
,,19930026,부활의 노래,The Song Of Resurrection,1990,1991-03-01,,한국,장편,드라마,중학생이상관람가,92분 0초,이정국,,필수:부활; 키워드:부활,장편 | 독립영화 | 드라마 | 92분 0초 | 중학생이상관람가 | 한국
,,19930072,드라큐라,Dracula,1992,1993-01-16,,미국,장편,"공포(호러), 스릴러, 드라마, 멜로/로맨스",고등학생이상관람가,126분 0초,프란시스 포드 코폴라,,키워드:십자가,"장편 | 일반영화 | 공포(호러), 스릴러, 드라마, 멜로/로맨스 | 126분 0초 | 고등학생이상관람가 | 미국"
,,19930090,아름다운 이야기,La Belle Histoire,1993,1993-02-27,,프랑스,장편,"드라마, 멜로/로맨스, 어드벤처, 판타지",고등학생이상관람가,136분 0초,끌로드 를르슈,,키워드:예수; 키워드:그리스도; 키워드:십자가,"장편 | 일반영화 | 드라마, 멜로/로맨스, 어드벤처, 판타지 | 136분 0초 | 고등학생이상관람가 | 프랑스"
